Dataset,Age,sex,PLT,MPV,Bodyweight,BMD,BMC,PctFat
CGDpheno1,11,f,1348,6.4,20.3,0.0503,,20.4
CGDpheno1,11,f,1279,6.1,,,,
CGDpheno1,11,f,1169,6.3,20.4,0.0461,,17.9
CGDpheno1,11,f,1242,6.8,20.7,0.0465,,16
CGDpheno1,11,f,857,6.1,19.4,0.0456,,10.9
CGDpheno1,11,f,1239,5.5,,,,
CGDpheno1,11,f,1248,5.6,,,,
CGDpheno1,11,f,1244,5.6,,,,
CGDpheno1,11,f,1185,5.3,,,,
CGDpheno1,11,f,1282,6.9,19,0.045,,17.1
CGDpheno1,11,f,1267,7,22.6,0.0482,,21.2
CGDpheno1,11,f,1181,6.9,21.9,0.0459,,23.4
CGDpheno1,11,f,1301,7.1,21,0.0455,,17.4
CGDpheno1,11,f,1329,6,21.3,0.0521,,14.5
CGDpheno1,11,f,1144,5.1,21.2,0.0552,,21.2
CGDpheno1,11,f,1103,6.7,17.8,0.0427,,18.1
CGDpheno1,11,f,1165,7,21.4,0.0477,,20.2
CGDpheno1,11,f,1372,6.7,20.9,0.047,,19.8
CGDpheno1,11,f,1264,6.8,21.4,0.0483,,19.2
CGDpheno1,11,f,916,6.5,21.7,0.0494,,19.6
CGDpheno1,11,f,1006,6.6,21.6,0.0485,,18.8
CGDpheno1,11,f,1141,6.4,21.8,0.0474,,17.6
CGDpheno1,11,f,1181,6.2,22.9,0.0462,,18.4
CGDpheno1,11,m,,,,,,
CGDpheno1,11,m,1311,5.9,27.1,0.0531,,17.5
CGDpheno1,11,m,1016,5,25,0.0484,,18.9
CGDpheno1,11,m,1131,5.4,27.4,0.05,,18.8
CGDpheno1,11,m,511,5.1,25.3,0.0465,,16.9
CGDpheno1,11,m,1636,6.1,27.1,0.0478,,19.2
CGDpheno1,11,m,1574,6.1,26.3,0.0461,,17.2
CGDpheno1,11,m,42,13.9,28.6,0.0483,,16
CGDpheno1,11,m,1277,5.3,25.1,0.0477,,18.5
CGDpheno1,11,m,,,22.1,0.0462,,19.2
CGDpheno1,11,m,1086,5.4,27,0.0499,,18.3
CGDpheno1,11,m,1165,5.2,22.7,0.045,,16.2
CGDpheno1,11,m,1295,5.7,26.5,0.0482,,21.9
CGDpheno1,11,m,1186,5.7,27.1,0.0492,,20.8
CGDpheno1,11,m,1495,4.9,25.5,0.0457,,15.7
CGDpheno1,11,m,1052,5.5,26.9,0.05,,20.8
CGDpheno1,11,m,,,,,,
CGDpheno1,11,m,1083,5.4,28,0.0482,,17.4
CGDpheno1,11,m,439,5.3,27.9,0.0497,,16.4
CGDpheno1,11,m,927,5.1,28.8,0.0514,,17.9
CGDpheno1,11,m,1251,6.2,29.4,0.0502,,21.1
CGDpheno1,11,m,879,5.5,30.9,0.0519,,17.9
CGDpheno1,11,m,1431,6.2,27.7,0.0495,,20.6
CGDpheno1,11,m,1121,6.3,28.7,0.0505,,17.5
CGDpheno1,11,m,1369,5.4,,,,
CGDpheno1,11,m,1152,5.3,,,,
CGDpheno1,11,m,1042,5.6,,,,
CGDpheno1,11,m,1184,5.6,,,,
CGDpheno1,11,m,1183,5.2,26.8,0.0466,,19.1
CGDpheno1,11,m,354,4.5,27.1,0.0468,,26
CGDpheno1,11,m,562,4.8,26.1,0.0456,,18.6
CGDpheno1,11,m,639,4.6,25,0.0474,,20.4
CGDpheno1,11,m,,,25.2,0.0485,,19.9
CGDpheno1,11,m,,,26.3,0.0483,,21.8
CGDpheno1,11,m,845,5.1,25.7,0.0472,,18.2
CGDpheno1,11,m,949,5.6,22.7,0.0465,,20.4
CGDpheno1,11,m,1243,6.5,,,,
CGDpheno1,11,m,1269,6.2,,,,
CGDpheno1,11,m,1186,6.3,,,,
CGDpheno1,11,m,1249,5.9,,,,
CGDpheno1,11,m,1219,6.3,21.6,0.0436,,17.9
CGDpheno1,11,m,1100,6.1,23.8,0.0437,,17.8
