Phenotype data set -- Mouse Phenome Database (phenome.jax.org),,,,,,
"Data set: CGDpheno2    Title: Variation over time for C57BL/6J controls, multi-system survey of mouse physiology    Year: 2009",,,,,,
Table of individual animal values,,,,,,
For metadata and more info please see:  http://phenome.jax.org/db/q?rtn=projects/details&sym=CGDpheno2&mlistmode=varnames,,,,,,
,,,,,,
strain,sex,id,age,testdate,parameter,value
C57BL/6J,f,444679,12,8/21/2002,TBIL,0.29
C57BL/6J,f,444679,12,8/21/2002,TG,62
C57BL/6J,f,451208,10,8/17/2002,carbon dioxide,17.8
C57BL/6J,f,451208,10,8/17/2002,chloride,115
C57BL/6J,f,451208,10,8/17/2002,potassium,8.02
C57BL/6J,f,451208,10,8/17/2002,sodium,148
C57BL/6J,f,451208,11,8/14/2002,pctEOS,3.4
C57BL/6J,f,451208,11,8/14/2002,HCT,47.7
C57BL/6J,f,451208,11,8/14/2002,HDW,2.31
C57BL/6J,f,451208,11,8/14/2002,pctLYMP,85.8
C57BL/6J,f,451208,11,8/14/2002,MCH,15
C57BL/6J,f,451208,11,8/14/2002,MCHC,31
C57BL/6J,f,451208,11,8/14/2002,MCV,48.2
C57BL/6J,f,451208,11,8/14/2002,pctMONO,1.9
C57BL/6J,f,451208,11,8/14/2002,MPV,5.1
C57BL/6J,f,451208,11,8/14/2002,pctNEUT,8
C57BL/6J,f,451208,11,8/14/2002,PLT,772
C57BL/6J,f,451208,11,8/14/2002,RBC,9.89
C57BL/6J,f,451208,11,8/14/2002,RDW,14.3
C57BL/6J,f,451208,11,8/14/2002,pct Retic,9.5
C57BL/6J,f,451208,11,8/14/2002,WBC,7.29
C57BL/6J,f,451208,11,8/14/2002,mHGB,14.8
C57BL/6J,f,451208,12,8/23/2002,pctFat,19.1
C57BL/6J,f,451208,12,8/23/2002,BMD,0.0448
C57BL/6J,f,451208,12,8/23/2002,LTM,12.3
C57BL/6J,f,451208,12,8/23/2002,bodylength,8.1
C57BL/6J,f,451208,12,8/23/2002,bodyweight,17.5
C57BL/6J,f,451208,12,8/23/2002,TTM,15.2
C57BL/6J,f,451208,12,9/10/2002,CHOL,67
C57BL/6J,f,451208,12,9/10/2002,GLU,208
C57BL/6J,f,451208,12,9/10/2002,HDLD,55.5
C57BL/6J,f,451208,12,9/10/2002,NEFA,1.57
C57BL/6J,f,451208,12,9/10/2002,T4,5
C57BL/6J,f,451208,12,9/10/2002,TBIL,0.41
C57BL/6J,f,451208,12,9/10/2002,TG,69
C57BL/6J,f,451209,10,8/17/2002,carbon dioxide,18.4
C57BL/6J,f,451209,10,8/17/2002,chloride,112
C57BL/6J,f,451209,10,8/17/2002,potassium,6.78
C57BL/6J,f,451209,10,8/17/2002,sodium,144
C57BL/6J,f,451209,11,8/14/2002,pctEOS,1.5
C57BL/6J,f,451209,11,8/14/2002,HCT,35.5
C57BL/6J,f,451209,11,8/14/2002,HDW,2.38
C57BL/6J,f,451209,11,8/14/2002,pctLYMP,89.5
C57BL/6J,f,451209,11,8/14/2002,MCH,3.3
C57BL/6J,f,451209,11,8/14/2002,MCHC,7.1
C57BL/6J,f,451209,11,8/14/2002,MCV,47
C57BL/6J,f,451209,11,8/14/2002,pctMONO,1.3
C57BL/6J,f,451209,11,8/14/2002,MPV,5.7
C57BL/6J,f,451209,11,8/14/2002,pctNEUT,6.6
C57BL/6J,f,451209,11,8/14/2002,PLT,769
C57BL/6J,f,451209,11,8/14/2002,RBC,7.55
C57BL/6J,f,451209,11,8/14/2002,RDW,14.2
C57BL/6J,f,451209,11,8/14/2002,pct Retic,8.6
C57BL/6J,f,451209,11,8/14/2002,WBC,11.2
C57BL/6J,f,451209,11,8/14/2002,mHGB,2.5
C57BL/6J,f,451209,12,8/23/2002,pctFat,20
C57BL/6J,f,451209,12,8/23/2002,BMD,0.0434
C57BL/6J,f,451209,12,8/23/2002,LTM,11.8
C57BL/6J,f,451209,12,8/23/2002,bodylength,7.9
C57BL/6J,f,451209,12,8/23/2002,bodyweight,16.9
C57BL/6J,f,451209,12,8/23/2002,TTM,14.8
C57BL/6J,f,451209,12,9/10/2002,BUN,34
C57BL/6J,f,451209,12,9/10/2002,CHOL,65
C57BL/6J,f,451209,12,9/10/2002,GLU,224
C57BL/6J,f,451209,12,9/10/2002,HDLD,50.4
C57BL/6J,f,451209,12,9/10/2002,NEFA,1.61
C57BL/6J,f,451209,12,9/10/2002,T4,5.9
C57BL/6J,f,451209,12,9/10/2002,TBIL,0.43
C57BL/6J,f,451209,12,9/10/2002,TG,93
C57BL/6J,f,451210,10,8/17/2002,carbon dioxide,17.6
C57BL/6J,f,451210,10,8/17/2002,chloride,115
C57BL/6J,f,451210,10,8/17/2002,potassium,6.24
C57BL/6J,f,451210,10,8/17/2002,sodium,146
C57BL/6J,f,451210,11,8/14/2002,pctEOS,2.4
C57BL/6J,f,451210,11,8/14/2002,HCT,48.7
C57BL/6J,f,451210,11,8/14/2002,HDW,2.31
C57BL/6J,f,451210,11,8/14/2002,pctLYMP,89.4
C57BL/6J,f,451210,11,8/14/2002,MCH,15.5
C57BL/6J,f,451210,11,8/14/2002,MCHC,31.2
C57BL/6J,f,451210,11,8/14/2002,MCV,49.7
C57BL/6J,f,451210,11,8/14/2002,pctMONO,1.4
C57BL/6J,f,451210,11,8/14/2002,MPV,6.2
C57BL/6J,f,451210,11,8/14/2002,pctNEUT,5.9
C57BL/6J,f,451210,11,8/14/2002,PLT,1236
C57BL/6J,f,451210,11,8/14/2002,RBC,9.81
C57BL/6J,f,451210,11,8/14/2002,RDW,15.5
C57BL/6J,f,451210,11,8/14/2002,pct Retic,12.9
C57BL/6J,f,451210,11,8/14/2002,WBC,8.36
C57BL/6J,f,451210,11,8/14/2002,mHGB,15.2
C57BL/6J,f,451210,12,8/23/2002,pctFat,20.4
C57BL/6J,f,451210,12,8/23/2002,BMD,0.0452
C57BL/6J,f,451210,12,8/23/2002,LTM,11.8
C57BL/6J,f,451210,12,8/23/2002,bodylength,8.1
C57BL/6J,f,451210,12,8/23/2002,bodyweight,17.1
C57BL/6J,f,451210,12,8/23/2002,TTM,14.8
C57BL/6J,f,451210,12,9/10/2002,BUN,24
C57BL/6J,f,451210,12,9/10/2002,CHOL,84
C57BL/6J,f,451210,12,9/10/2002,GLU,149
C57BL/6J,f,451210,12,9/10/2002,HDLD,67.4
C57BL/6J,f,451210,12,9/10/2002,NEFA,1.53
C57BL/6J,f,451210,12,9/10/2002,T4,7.5
C57BL/6J,f,451210,12,9/10/2002,TBIL,0.38
C57BL/6J,f,451210,12,9/10/2002,TG,65
C57BL/6J,f,451211,10,8/17/2002,carbon dioxide,17.8
C57BL/6J,f,451211,10,8/17/2002,chloride,116
C57BL/6J,f,451211,10,8/17/2002,potassium,6.18
C57BL/6J,f,451211,10,8/17/2002,sodium,147
C57BL/6J,f,451211,11,8/14/2002,pctEOS,1.9
C57BL/6J,f,451211,11,8/14/2002,HCT,46.8
C57BL/6J,f,451211,11,8/14/2002,HDW,2.26
C57BL/6J,f,451211,11,8/14/2002,pctLYMP,89.7
C57BL/6J,f,451211,11,8/14/2002,MCH,15
C57BL/6J,f,451211,11,8/14/2002,MCHC,31.6
C57BL/6J,f,451211,11,8/14/2002,MCV,47.6
C57BL/6J,f,451211,11,8/14/2002,pctMONO,1.6
C57BL/6J,f,451211,11,8/14/2002,MPV,6.1
C57BL/6J,f,451211,11,8/14/2002,pctNEUT,5.8
C57BL/6J,f,451211,11,8/14/2002,PLT,1381
C57BL/6J,f,451211,11,8/14/2002,RBC,9.84
C57BL/6J,f,451211,11,8/14/2002,RDW,14.1
C57BL/6J,f,451211,11,8/14/2002,pct Retic,9
C57BL/6J,f,451211,11,8/14/2002,WBC,8.37
C57BL/6J,f,451211,11,8/14/2002,mHGB,14.8
C57BL/6J,f,451211,12,8/23/2002,pctFat,19.9
C57BL/6J,f,451211,12,8/23/2002,BMD,0.0446
C57BL/6J,f,451211,12,8/23/2002,LTM,12.8
C57BL/6J,f,451211,12,8/23/2002,bodylength,8.2
C57BL/6J,f,451211,12,8/23/2002,bodyweight,18.3
C57BL/6J,f,451211,12,8/23/2002,TTM,16
C57BL/6J,f,452421,11,9/5/2002,pctEOS,2
C57BL/6J,f,452421,11,9/5/2002,HCT,48.7
C57BL/6J,f,452421,11,9/5/2002,HDW,2.09
C57BL/6J,f,452421,11,9/5/2002,pctLYMP,87.8
C57BL/6J,f,452421,11,9/5/2002,MCH,16.1
C57BL/6J,f,452421,11,9/5/2002,MCHC,34
C57BL/6J,f,452421,11,9/5/2002,MCV,47.3
C57BL/6J,f,452421,11,9/5/2002,pctMONO,1.5
C57BL/6J,f,452421,11,9/5/2002,MPV,4.7
C57BL/6J,f,452421,11,9/5/2002,pctNEUT,7.5
C57BL/6J,f,452421,11,9/5/2002,PLT,884
C57BL/6J,f,452421,11,9/5/2002,RBC,10.3
C57BL/6J,f,452421,11,9/5/2002,RDW,15.4
C57BL/6J,f,452421,11,9/5/2002,pct Retic,4.8
C57BL/6J,f,452421,11,9/5/2002,WBC,9.07
C57BL/6J,f,452421,11,9/5/2002,mHGB,16.5
C57BL/6J,f,452421,12,9/13/2002,pctFat,22.9
C57BL/6J,f,452421,12,9/13/2002,BMD,0.0439
C57BL/6J,f,452421,12,9/13/2002,LTM,13
C57BL/6J,f,452421,12,9/13/2002,bodylength,8.4
C57BL/6J,f,452421,12,9/13/2002,bodyweight,18.6
C57BL/6J,f,452421,12,9/13/2002,TTM,16.8
C57BL/6J,f,452421,12,9/19/2002,BUN,24
C57BL/6J,f,452421,12,9/19/2002,CHOL,84
C57BL/6J,f,452421,12,9/19/2002,GLU,192
C57BL/6J,f,452421,12,9/19/2002,HDLD,68.8
C57BL/6J,f,452421,12,9/19/2002,NEFA,1.58
C57BL/6J,f,452421,12,9/19/2002,T4,6.9
C57BL/6J,f,452421,12,9/19/2002,TBIL,0.5
C57BL/6J,f,452421,12,9/19/2002,TG,81
C57BL/6J,f,452423,11,9/5/2002,pctEOS,2
C57BL/6J,f,452423,11,9/5/2002,HCT,48.3
C57BL/6J,f,452423,11,9/5/2002,HDW,2.08
C57BL/6J,f,452423,11,9/5/2002,pctLYMP,88.5
C57BL/6J,f,452423,11,9/5/2002,MCH,16
C57BL/6J,f,452423,11,9/5/2002,MCHC,34.7
C57BL/6J,f,452423,11,9/5/2002,MCV,46.2
C57BL/6J,f,452423,11,9/5/2002,pctMONO,1.5
C57BL/6J,f,452423,11,9/5/2002,MPV,5.3
C57BL/6J,f,452423,11,9/5/2002,pctNEUT,6.8
C57BL/6J,f,452423,11,9/5/2002,PLT,832
C57BL/6J,f,452423,11,9/5/2002,RBC,10.5
C57BL/6J,f,452423,11,9/5/2002,RDW,13.6
C57BL/6J,f,452423,11,9/5/2002,pct Retic,5.9
C57BL/6J,f,452423,11,9/5/2002,WBC,10.3
C57BL/6J,f,452423,11,9/5/2002,mHGB,16.8
C57BL/6J,f,452423,12,9/13/2002,pctFat,21.6
C57BL/6J,f,452423,12,9/13/2002,BMD,0.0452
C57BL/6J,f,452423,12,9/13/2002,LTM,13.7
C57BL/6J,f,452423,12,9/13/2002,bodylength,8.6
C57BL/6J,f,452423,12,9/13/2002,bodyweight,19.6
C57BL/6J,f,452423,12,9/13/2002,TTM,17.5
