strain,sex,animal_id,sodium,potassium,magnesium,K_Cl,Na_K_pump,Na_H_exchange,gardos_channel,MCV,CHCM,MCH,retic
NZW/LacJ,m,6215,37.66,387.71,,,28.4,23.41,,47.2,29.2,13.7,5.32
NZW/LacJ,m,6216,38.27,429.44,8.24,,32.11,31.41,,49,28.9,14.1,5.44
NZW/LacJ,m,6217,40.89,409.28,7.78,,32.68,26.04,,47.7,29.3,13.9,3.77
NZW/LacJ,m,6218,40.96,382.67,8.95,,28.98,28.63,,47.9,29.4,13.9,5.94
NZW/LacJ,m,6219,45.23,409.09,9.48,,30.91,31.1,,46.9,29.4,13.6,5.11
NZW/LacJ,m,6220,44.22,413.55,9.22,,30.53,30.41,,48.3,29.3,14,4.6
NZW/LacJ,m,6221,38.28,423.71,8.45,,,,0.068,49.2,28.9,14.1,2.66
NZW/LacJ,m,6222,44.74,448.7,7.9,,,,0.083,48.5,29.1,14,3.99
NZW/LacJ,m,6223,42.01,435.92,8.31,,,,0.097,49,29.2,14.2,3.98
NZW/LacJ,m,6224,43.01,433.58,8.65,,,,0.083,49.5,28.9,14.2,2.22
NZW/LacJ,m,6225,40.74,423.23,7.92,,,,0.087,47.8,28.9,13.7,3.27
NZW/LacJ,m,6226,36.59,395.74,8.82,,,,0.088,,0,,
NZW/LacJ,m,6227,38.93,419.42,9.57,,,,0.081,,0,,
NZW/LacJ,m,6228,44.02,462.83,10.4,,,,0.12,,0,,
NZW/LacJ,m,6229,43.85,434.44,10.14,,,,0.099,,0,,
NZW/LacJ,m,6230,43.76,436.67,9.8,,,,0.108,,0,,
NZW/LacJ,m,6231,,,,10.76,,,,48.2,31,14.8,3.07
NZW/LacJ,m,6232_m1,,,,10.14,,,,48.4,31,14.9,3.04
NZW/LacJ,m,6267,31.46,451.08,7.12,12.02,,,,40.4,27.3,11,2
NZW/LacJ,m,6268,34.92,433.05,7.78,15.65,,,,42.5,28.6,12.1,1.94
NZW/LacJ,m,6269,40.29,464.82,10.31,29.51,,,,43.5,26.5,11.5,8.1
NZW/LacJ,m,6270,36.11,447.26,9.19,28.32,,,,42.4,27.6,11.6,3.4
SM/J,f,6331,21.71,367.86,6.07,14.8,,,,52.6,28.3,14.8,3.24
SM/J,f,6332,24.13,351.23,5.35,15.91,,,,51.2,28.9,14.7,2.03
SM/J,f,6333,26.95,377.77,6.71,17.86,,,,52.2,28.5,14.7,4.8
SM/J,f,6334,26.99,368.88,6.05,17.2,,,,51.9,28.4,14.6,4.01
SM/J,f,6335,23.14,374.3,6.11,20.2,,,,51.5,28.4,14.5,2.29
SM/J,f,6336,23.89,349.51,7.11,11.57,,,,50,29.3,14.5,3.22
SM/J,f,6337,24.2,358.71,7.06,11.47,,,,50.9,29.2,14.7,4.36
SM/J,f,6338,22.79,363.22,6.72,9.5,,,,50,29.4,14.6,2.48
SM/J,f,6339,23.94,361.51,6.92,10.68,,,,50.9,29.5,14.9,2.24
SM/J,f,6341,20.91,371.25,6.2,,20.84,34.14,,52.2,28.6,14.8,3.72
SM/J,f,6342,22.73,374.8,6.37,,21.3,37.04,,51.2,29.1,14.8,3.85
SM/J,f,6343,22.84,366.08,6.66,,25.58,41.54,,51.5,29,14.8,3.44
SM/J,f,6344,25.19,389.1,8,,23.2,45.01,,51.6,28.8,14.7,5.87
SM/J,f,6345,24.79,387.78,7.22,,28.04,38.74,,51.2,29.1,14.7,3.23
SM/J,f,6346,,390.67,7.41,,,,0.023,52.3,28.9,15,3.13
SM/J,f,6347,,393.71,7.39,,,,0.021,52.6,29,15.1,3.48
SM/J,f,6348,,382.99,7.39,,,,0.03,52,29.3,15.1,3.26
SM/J,f,6349,,386.29,7.19,,,,0.027,52,29.3,15.1,2
SM/J,f,6351,18.61,373.15,4.89,,,,0.028,45,30.3,13.6,2.2
SM/J,f,6352,18.28,373.75,5.25,,,,,46.6,30.6,14.3,2.25
SM/J,f,6353,17.52,366.38,5.06,,,,0.026,46.2,30.5,14,2.29
SM/J,f,6354,18.43,370.27,5.55,,,,0.034,45.2,30.4,13.7,2.46
SM/J,f,6366,,,,,,,,52.4,29.7,15.4,2.08
SM/J,f,6367_f1,,,,,,,,51.3,29.9,15.2,2.67
SM/J,f,6367_f2,35.29,509.46,10.84,,23.23,,,51.7,26.1,13.4,2.45
SM/J,f,6368_f1,,,,,,,0.027,51.3,29.4,15,2.6
SM/J,f,6368_f2,30.95,461.2,9.97,,,41.78,,52.7,26.1,13.6,2.74
SM/J,f,6369_f1,,,,,,,0.032,51.7,29.8,15.3,2.46
SM/J,f,6369_f2,31.01,487.85,11.07,,20.04,34.29,,51.3,26.2,13.8,2.8
SM/J,f,6370_f1,,,,,,,0.032,51.1,30.3,15.3,2.35
SM/J,f,6370_f2,25.59,394.5,8.33,,21.97,47.03,,53.2,26.2,13.8,2.47
SM/J,f,6371,29.05,463.35,10.21,,18.52,38.83,,52.3,26.3,13.7,2.62
SM/J,f,6372,35.18,507.85,11.19,,23.68,37.32,,52.2,26.5,13.7,3.5
SM/J,m,6301,28.96,455.53,10.55,18.05,,,,52.1,27.7,14.3,2.89
SM/J,m,6302,33.62,424.95,7.97,15.83,,,,51.8,28.4,14.5,2.7
SM/J,m,6303,31.53,430.47,9.31,18.8,,,,52.1,28.3,14.6,2.37
SM/J,m,6304,33.57,430.51,10.28,16.83,,,,51.9,28.5,14.7,2.64
SM/J,m,6305,30.73,435.76,7.35,16.3,,,,52.1,28.5,14.7,3.56
SM/J,m,6306,36.12,426.02,7.71,15.77,,,,53.2,27.9,14.6,4.09
SM/J,m,6307,30.89,451.49,8.22,17.4,,,,52.8,27.7,14.4,3.44
SM/J,m,6308,32.62,451.97,8.07,19.33,,,,53.1,27.4,14.4,5.12
SM/J,m,6309,34.81,476.43,8.81,17.19,,,,53.3,27.4,14.4,4.61
SM/J,m,6310,33.63,439.43,8.26,15.35,,,,52.7,27.6,14.3,4.15
SM/J,m,6311,30.18,377.11,7.26,,28.13,35.12,,52.8,27.9,14.5,4.04
SM/J,m,6312,34.75,430.56,7.83,,31.77,46.59,,53.3,27.9,14.6,4.32
SM/J,m,6313,30.52,420.16,7.76,,30.11,42.32,,52.9,27.8,14.6,4.01
SM/J,m,6314,30.77,415.84,7.63,,33.4,44.85,,53.2,27.7,14.5,4.21
SM/J,m,6315,35.01,461.17,10.06,,35.02,38.94,,53.3,27.5,14.5,3.78
SM/J,m,6316,36.9,387.3,,,28.07,42.66,,53.6,26.5,14.1,4.38
SM/J,m,6317,35.59,381.18,,,29.31,39.2,,53.3,26.6,14.1,6
SM/J,m,6318,40.53,375.9,,,30.26,37.63,,53.8,26.1,14,4.4
SM/J,m,6319,35.18,378.34,,,33.93,44.23,,52.4,25.6,13.3,5.45
SM/J,m,6320,40.36,402.89,,,29.06,42.29,,52.6,26.2,13.7,4.44
SM/J,m,6321,35.55,456.2,9.56,,,,0.032,,0,,
SM/J,m,6322,37.46,438.7,8.71,,,,0.037,,0,,
SM/J,m,6323,36.36,438.61,9.52,,,,0.039,,0,,
SM/J,m,6324,35.33,424.71,9.8,,,,,,0,,
SM/J,m,6325,30.27,437.76,10.14,,,,,,0,,
SM/J,m,6326,33.37,441.06,10.35,,,,0.031,,0,,
SM/J,m,6360,22.39,390.75,9.35,9.06,,,0.046,53.5,26.9,14.3,2.14
SM/J,m,6361,23.65,373.76,9.07,9.75,,,0.053,53.1,27.3,14.4,1.7
SM/J,m,6362,23.65,393.04,9.38,10.76,,,0.046,54.3,27.1,14.6,2.7
SM/J,m,6363,24.38,373.76,9.49,10.19,,,0.049,53,27.3,14.3,3.07
SM/J,m,6364,23.22,396.91,9,10.57,,,0.053,53.8,27.2,14.5,2.73
SM/J,m,6365,27.74,419.37,9.94,8.64,,,0.05,53.1,27.4,14.4,2.34
