strain,sex,animal_id,RBC,WBC,LYM,LYM_pct,NEUT,NEUT_pct,MONO,MONO_pct,EOS,EOS_pct,BASO,BASO_pct,RDW,MCV,HGB,PLT,MPV
PreCC867/Unc,m,OR867m181,10.67,10.78,5.01,46.47,4.08,37.85,1.13,10.48,0.41,3.80,0.16,1.48,17.6,51.4,16.1,1072,4.9
PreCC896/Unc,m,OR896m61,12.89,13.16,8.72,66.26,3.11,23.63,0.75,5.70,0.44,3.34,0.15,1.14,16.7,53.1,15.4,2053,4.9
PreCC900/Unc,m,OR900m153,10.55,9.80,6.76,68.98,2.36,24.08,0.51,5.20,0.15,1.53,0.02,0.20,17.2,47.9,15.1,668,5
PreCC940/Unc,m,OR940m160,11.24,14.88,10.42,70.03,2.91,19.56,1.00,6.72,0.38,2.55,0.17,1.14,15.6,62.6,16.8,1640,4.5
WSB/EiJ,m,47,10.33,6.78,3.98,58.70,2.03,29.94,0.46,6.78,0.24,3.54,0.07,1.03,15.4,58.1,14.1,754,4
WSB/EiJ,m,48,11.93,7.76,4.78,61.60,2.26,29.12,0.58,7.47,0.11,1.42,0.02,0.26,16.2,56.3,16.1,732,3.9
WSB/EiJ,m,49,13.96,9.66,4.58,47.41,3.29,34.06,1.08,11.18,0.49,5.07,0.21,2.17,16.2,57.2,19,669,4
WSB/EiJ,m,50,11.84,3.96,1.80,45.45,1.30,32.83,0.74,18.69,0.10,2.53,0.02,0.51,15.7,58.2,17.1,824,3.9
WSB/EiJ,m,51,12.75,5.34,2.45,45.88,1.96,36.70,0.83,15.54,0.08,1.50,0.02,0.37,16,58,17.3,783,4
WSB/EiJ,m,52,11.58,7.30,3.55,48.63,2.57,35.21,0.75,10.27,0.35,4.79,0.09,1.23,16,58.5,15.8,625,3.9
WSB/EiJ,m,53,15.04,7.82,4.42,56.52,2.18,27.88,1.10,14.07,0.08,1.02,0.04,0.51,19.7,59,20.3,641,4.1
WSB/EiJ,m,54,12.33,7.82,3.81,48.72,2.65,33.89,1.00,12.79,0.30,3.84,0.07,0.90,16.9,57.4,17.5,861,4
