strain,sex,animal_id,RBC,WBC,LYM,LYM_pct,NEUT,NEUT_pct,MONO,MONO_pct,EOS,EOS_pct,BASO,BASO_pct,RDW,MCV,HGB,PLT,MPV
PreCC3154/Unc,m,OR3154m44,6.07,4.78,4.11,85.98,0.44,9.21,0.22,4.60,0.01,0.21,0.00,0.00,15.5,62.9,8.8,591,4.6
PreCC3156/Unc,m,OR3156m41,9.96,6.34,4.60,72.56,1.30,20.50,0.43,6.78,0.01,0.16,0.00,0.00,16.9,53.1,12.1,617,4.1
PreCC3168/Unc,m,OR3168m50,8.98,11.30,7.74,68.50,2.50,22.12,0.87,7.70,0.18,1.59,0.00,0.00,21.2,51.6,12,814,4.2
PreCC3180/Unc,m,OR3180m54,9.64,6.52,3.69,56.60,1.98,30.37,0.83,12.73,0.01,0.15,0.00,0.00,17.2,50.8,14.8,1076,4.2
PreCC3181/Unc,m,OR3181m52,11.45,6.80,4.08,60.00,2.01,29.56,0.63,9.26,0.05,0.74,0.02,0.29,19.3,52.6,16.3,786,5.2
PreCC3232/Unc,m,OR3232m54,9.93,7.10,4.76,67.04,2.03,28.59,0.25,3.52,0.06,0.85,0.00,0.00,17.6,49.3,15.4,1133,4.6
PreCC3289/Unc,m,OR3289m52,7.72,6.42,4.28,66.67,1.63,25.39,0.45,7.01,0.06,0.93,0.01,0.16,17.3,50.9,10.6,897,5.9
PreCC3291/Unc,m,OR3291m42,10.76,8.46,4.59,54.26,3.02,35.70,0.55,6.50,0.22,2.60,0.07,0.83,20.6,58,13.7,935,4.4
PreCC3327/Unc,m,OR3327m48,8.93,7.78,5.18,66.58,2.06,26.48,0.50,6.43,0.04,0.51,0.01,0.13,19.1,49,14.9,1643,4.6
PreCC3344/Unc,m,OR3344m55,9.28,14.54,10.63,73.11,3.02,20.77,0.68,4.68,0.18,1.24,0.03,0.21,21.2,42,12.7,1381,4.8
PreCC3358/Unc,m,OR3358m55,6.73,4.88,3.52,72.13,1.09,22.34,0.25,5.12,0.01,0.20,0.00,0.00,16.1,55.7,10.9,689,4.4
PreCC3370/Unc,m,OR3370m47,10.81,6.60,4.02,60.91,2.00,30.30,0.48,7.27,0.09,1.36,0.01,0.15,18.3,65.6,15.9,744,4.5
PreCC3389/Unc,m,OR3389m51,11.09,13.26,8.94,67.42,2.87,21.64,0.86,6.49,0.42,3.17,0.16,1.21,19.4,47.4,15.8,906,4.8
PreCC3401/Unc,m,OR3401m39,8.23,8.32,5.20,62.50,2.62,31.49,0.46,5.53,0.04,0.48,0.00,0.00,18.5,54,11.9,569,4.1
PreCC3415/Unc,m,OR3415m51,6.48,3.70,2.70,72.97,0.63,17.03,0.34,9.19,0.02,0.54,0.01,0.27,18,47.5,8.9,311,4.9
PreCC3426/Unc,m,OR3426m56,10.45,4.66,2.89,62.02,1.38,29.61,0.31,6.65,0.07,1.50,0.01,0.21,17.9,48.9,14.7,745,5.1
PreCC3431/Unc,m,OR3431m38,10.1,15.50,10.16,65.55,3.76,24.26,1.07,6.90,0.38,2.45,0.12,0.77,19.6,44.5,15,889,4.2
PreCC3443/Unc,m,OR3443m48,7.74,7.56,5.91,78.17,1.33,17.59,0.30,3.97,0.02,0.26,0.00,0.00,15.4,56.8,10.2,684,4.3
PreCC3467/Unc,m,OR3467m61,10.67,6.78,5.13,75.66,1.24,18.29,0.35,5.16,0.05,0.74,0.01,0.15,21.4,54.1,15.8,1037,4.6
PreCC3489/Unc,m,OR3489m49,11.71,3.08,1.47,47.73,1.22,39.61,0.34,11.04,0.03,0.97,0.01,0.32,19.9,58,16.3,834,4.5
PreCC3513/Unc,m,OR3513m61,9.79,13.18,9.11,69.12,2.78,21.09,0.77,5.84,0.41,3.11,0.11,0.83,18.1,60.6,15.4,1009,4.8
PreCC3515/Unc,m,OR3515m67,10.73,8.38,5.61,66.95,1.88,22.43,0.45,5.37,0.33,3.94,0.12,1.43,17.1,67.8,17.4,724,5
PreCC3528/Unc,m,OR3528m42,10.23,7.58,6.19,81.66,0.89,11.74,0.43,5.67,0.06,0.79,0.01,0.13,18.8,60.8,15.2,501,4.2
PreCC3546/Unc,m,OR3546m38,11.15,3.16,1.58,50.00,1.17,37.03,0.41,12.97,0.01,0.32,0.00,0.00,19.4,52.9,15.3,1296,5
PreCC3548/Unc,m,OR3548m52,11.62,9.56,6.99,73.12,2.08,21.76,0.39,4.08,0.07,0.73,0.02,0.21,18.8,52.8,14.7,964,4.4
PreCC3549/Unc,m,OR3549m47,11.29,7.52,4.38,58.24,2.37,31.52,0.69,9.18,0.07,0.93,0.01,0.13,14.4,61.9,16.3,1067,5.3
PreCC3564/Unc,m,OR3564m41,7.83,7.70,6.49,84.29,1.01,13.12,0.17,2.21,0.02,0.26,0.01,0.13,18.1,57.4,11,832,5.3
PreCC3584/Unc,m,OR3584m51,9.44,6.44,4.56,70.81,1.68,26.09,0.19,2.95,0.08,1.24,0.00,0.00,17.2,43.7,13.1,706,3.8
PreCC3594/Unc,m,OR3594m47,9.44,6.46,4.35,67.34,1.56,24.15,0.47,7.28,0.06,0.93,0.02,0.31,19.4,43,13.8,959,4.8
PreCC3612/Unc,m,OR3612m60,10.54,12.44,9.39,75.48,2.08,16.72,0.85,6.83,0.10,0.80,0.02,0.16,19.5,46.7,15,884,5.2
PreCC381/Unc,m,OR381m65,11.56,8.20,4.47,54.51,2.64,32.20,0.95,11.59,0.12,1.46,0.02,0.24,18,63,17.4,886,4.9
PreCC4010/Unc,m,OR4010m155,11.14,,,,,,,,,,,,18.2,57.8,15.7,1119,5.3
PreCC41/Unc,m,OR41m114,10.35,5.04,1.78,35.32,2.41,47.82,0.46,9.13,0.31,6.15,0.07,1.39,16.5,52.7,16.4,913,4.9
PreCC4179/Unc,m,OR4179m174,7.87,4.30,3.14,73.02,0.97,22.56,0.18,4.19,0.01,0.23,0.00,0.00,16.5,59.4,12,895,3.9
PreCC4227/Unc,m,OR4227m141,10.32,7.26,5.42,74.66,1.32,18.18,0.45,6.20,0.06,0.83,0.01,0.14,17.9,52.1,13.1,1885,4.6
PreCC4251/Unc,m,OR4251m142,11.75,10.86,6.65,61.23,3.02,27.81,0.75,6.91,0.39,3.59,0.05,0.46,18,52.8,15.4,2025,4.7
PreCC4390/Unc,m,OR4390m150,12.73,14.12,9.47,67.07,3.49,24.72,1.04,7.37,0.07,0.50,0.04,0.28,18.6,40.4,16.2,700,5.3
PreCC4410/Unc,m,OR4410m171,9.92,7.16,4.27,59.64,2.48,34.64,0.30,4.19,0.08,1.12,0.03,0.42,18.7,57.6,15.3,1029,5.2
PreCC4559/Unc,m,OR4559m154,11.72,9.96,6.80,68.27,2.76,27.71,0.33,3.31,0.06,0.60,0.01,0.10,20,41.1,14.7,903,4.8
PreCC4650/Unc,m,OR4650m146,11.15,9.12,5.18,56.80,2.58,28.29,0.76,8.33,0.49,5.37,0.12,1.32,16.4,48.7,16.3,960,5.9
PreCC477/Unc,m,OR477m143,10.78,10.36,7.18,69.31,2.54,24.52,0.59,5.69,0.04,0.39,0.01,0.10,16.7,63.5,15.7,1048,4.6
PreCC489/Unc,m,OR489m79,14.88,11.20,6.07,54.20,4.50,40.18,0.50,4.46,0.13,1.16,0.01,0.09,19.9,38.5,15.8,1316,4.7
PreCC5019/Unc,m,OR5019m130,6.81,2.66,2.01,75.56,0.41,15.41,0.20,7.52,0.03,1.13,0.02,0.75,18.4,53.3,8.3,423,4
PreCC5046/Unc,m,OR5046m132,8.72,6.00,3.88,64.67,1.68,28.00,0.39,6.50,0.04,0.67,0.00,0.00,19.5,57.3,14,793,5.2
