strain,sex,animal_id,GLU,CHOL,HDL,TG,RBC,WBC,pctLYMP,pctNEUT,pctMONO,pctBASO,pctEOS,pctLUC,pctRetic,RDW,MCV,MCH,MCHC,CHCM,HDW,mHGB,cHGB,HCT,PLT,MPV,systolic_BP,pulse,HR,CV,R_amplitude,RS_amplitude,RR,PQ,PR,QRS,QT,QTc,QT_dispersion,QTc_dispersion,ST,BMD,BMC,bone_area,total_area,LTM,pct_fat,TTM,bw
B6CASTF1,m,BFF1M04,252,118,89.5,271,10.86,7.77,91,5.7,0.8,0.3,1.9,0.4,1.7,14.1,43.7,14.5,33.2,31.9,1.49,15.7,15.1,47.5,1458,4.9,,,789,3.37,410.76,467.12,76.1,20.2,28,10.7,44.9,51.4,22.5,24.1,34.6,0.06,0.3,5.76,11.03,11.15,14.06,13.31,28.43
B6CASTF1,m,BFF1M05,267,98,83.6,128,10.84,7.29,86.4,8.5,2.5,0.1,2,0.5,1.7,14,44.1,14.5,33,31.6,1.47,15.8,15.1,47.8,1256,4.6,,,795,3.04,437.35,375.63,75.6,20.1,27.4,10.4,43.5,50.1,18,20.6,33.6,0.06,0.27,5.33,11.46,11.2,16.65,13.67,28.88
B6NODF1,f,BDF1F01,182,80,68.6,97,9.44,7.94,83.4,13.9,0.9,0.2,0.9,0.7,3.1,14.7,49.2,16.5,33.5,31.4,1.73,15.6,14.6,46.5,1074,4.9,136,588,805,0.74,469.42,508.66,74.5,23.4,30.2,10.3,39.7,45.9,12,13.9,29.8,0.07,0.31,5.8,10.55,9.55,13.24,11.37,24.73
B6NODF1,f,BDF1F02,191,88,73.7,90,9.67,10.2,87,8.6,1.5,0.3,1.7,0.9,3.2,15.4,47.6,16.1,34,31.4,1.74,15.6,14.5,46,1176,4.7,150,598,796,0.73,319.49,586,75.4,22.2,29.4,10.5,41.1,47.4,16,18.2,31.2,0.07,0.31,5.92,10.67,9.25,12.21,10.94,24.16
B6NODF1,f,BDF1F03,156,75,64.2,110,10.11,11.57,86.5,9.3,1.7,0.3,1.1,1.1,3.3,15.8,47.8,15.7,33,31.2,1.71,15.9,15.1,48.3,1030,4.9,131,677,783,1.71,389.73,362.66,76.6,23.6,30.8,10.6,39.3,44.9,21,23.7,29.1,0.07,0.31,5.76,11.22,9.95,13.48,12,26.21
B6NODF1,f,BDF1F04,191,77,66.9,98,9.59,11.67,84.7,11.1,1.7,0.2,1.5,0.7,3.5,15.5,48,16.4,34.1,31.5,1.82,15.7,14.5,46.1,1085,5.1,142,693,782,1.16,388.09,560.92,76.7,23.8,31.2,10.7,41.8,47.7,21,23.6,31.6,0.06,0.3,5.87,11.43,10,13.36,12.09,26.29
B6NODF1,f,BDF1F05,184,79,68.2,120,9.19,11.15,83.4,11.5,1,0.8,2.1,1.1,3.5,15.9,49.7,16.4,33,31,2.37,15.1,14.1,45.7,1168,6,141,654,776,1.71,363.75,481.19,77.3,24,30.7,10,38.6,43.9,23.5,26.2,29.1,0.07,0.3,5.92,10.85,8.8,16.16,10.5,23.72
B6NODF1,m,BDF1M01,197,98,88.7,96,10.3,9.55,85.3,9.8,1.8,0.2,2.3,0.6,3.4,13.8,50.1,16.1,32.1,30.4,1.68,16.6,15.7,51.6,1233,5,147,612,821,0.76,423.9,608.2,73.1,21.6,28.3,9.8,39,45.6,16.5,19.3,29.7,0.06,0.29,5.73,11.88,10.85,14.18,13.2,28.71
B6NODF1,m,BDF1M02,153,104,92.4,114,10.33,8.11,83,12.9,2,0.3,1.4,0.5,3.1,14.3,47.4,16.1,34,31.2,1.7,16.6,15.3,48.9,1131,5,146,649,791,1.12,475.85,591.3,75.9,23.8,30.5,9.8,36.6,42,21,24.4,27.3,0.06,0.28,5.25,12.15,11,16.87,14.03,30.35
B6NODF1,m,BDF1M03,190,99,89.6,88,10.31,6.26,83.9,9.6,1.5,0.1,4.5,0.4,3.6,15.1,49.2,16.1,32.7,30,1.72,16.6,15.2,50.7,886,6,158,586,823,0.78,408.02,389.62,72.9,22.4,29.5,10.6,38.3,44.8,22.5,26.5,28.1,0.06,0.28,5.57,11.28,10.35,12.98,12.24,26.65
