strain,sex,animal_id,GLU,CHOL,HDL,TG,RBC,WBC,pctLYMP,pctNEUT,pctMONO,pctBASO,pctEOS,pctLUC,pctRetic,RDW,MCV,MCH,MCHC,CHCM,HDW,mHGB,cHGB,HCT,PLT,MPV,systolic_BP,pulse,HR,CV,R_amplitude,RS_amplitude,RR,PQ,PR,QRS,QT,QTc,QT_dispersion,QTc_dispersion,ST,BMD,BMC,bone_area,total_area,LTM,pct_fat,TTM,bw
C57BL/6J,m,BBF1M02,250,106,93.1,125,10.41,8.94,89.3,6.7,1.1,0.4,1.7,0.9,2.6,15,45.3,14.4,31.9,32.2,1.83,15,15.2,47.1,1151,4.5,,,781,0.48,417.4,582.15,76.8,22.8,29.7,10.2,40.6,46.3,20,22.9,30.9,0.05,0.22,4.54,13.08,10.85,27.5,16.18,33.46
C57BL/6J,m,BBF1M03,229,102,89.8,91,10.4,10.91,86.8,8.8,1.4,0.2,1.7,1.2,2.9,14,46.2,14.6,31.7,31.4,1.72,15.2,15.1,48,1125,4.6,,,768,0.8,453.32,560.31,78.2,23.4,30.6,10.7,40.4,45.7,20,22.8,30.1,0.05,0.2,4.62,10.51,9.1,21.42,11.94,24.96
C57BL/6J,m,BBF1M04,237,106,95.8,95,9.33,8.47,85.2,10.4,0.5,0.4,1.2,2.3,3.6,16.9,48.6,15.2,31.2,30.6,2.4,14.2,13.9,45.3,1178,4.9,,,791,1.25,360.61,477.47,75.8,23.3,30.4,10.2,39.8,45.7,22,24.8,30.1,0.06,0.27,5.43,11.46,11.2,15.28,13.59,29.09
C57BL/6J,m,BBF1M05,235,119,107.3,124,9.4,7.37,84.7,9.8,1.5,0.2,1.6,2.3,2.3,15.1,46.8,15.1,32.2,31.3,2.44,14.2,13.8,43.9,1222,4.6,,,802,0.54,396.37,488.8,74.9,23.4,30.3,10.2,39.5,45.7,22.5,26.1,29.8,0.06,0.27,5.3,12.25,11.7,19.9,14.88,31.81
CAST/EiJ,f,FFF1F01,190,68,51.5,152,9.92,7.44,84.7,10.4,1.3,0.1,3.2,0.3,2.8,18.9,44.1,14.7,33.3,32.3,1.99,14.5,14.1,43.7,1120,7.9,,,,,,,,,,,,,,,,0.05,0.18,4.13,7.37,5.35,14.15,6.53,14.11
CAST/EiJ,f,FFF1F02,201,72,54,143,9.85,5.84,79.5,13.1,1.2,0.3,5.6,0.3,3.1,18.4,43.4,14.4,33.2,32.1,2.02,14.2,13.7,42.8,1144,7.5,,,,,,,,,,,,,,,,0.05,0.15,3.59,6.91,5.15,14.55,6.35,13.55
CAST/EiJ,f,FFF1F03,202,81,53.8,155,9.43,7.72,86.2,10.2,1.5,0.3,1.3,0.5,3.6,20.2,44.5,14.9,33.6,31.7,2.98,14.1,13.3,42,1014,6.3,,,,,,,,,,,,,,,,0.05,0.16,3.77,6.33,4.5,12.69,5.39,11.97
CAST/EiJ,f,FFF1F04,205,75,52.3,163,9.48,6.94,85.8,10.2,1.3,0.2,1.6,0.9,2.7,18.8,43.1,14.1,32.7,31.5,2.81,13.4,12.9,40.9,1291,6.2,,,,,,,,,,,,,,,,0.04,0.16,3.7,6.55,4.9,13.45,5.94,13.02
CAST/EiJ,f,FFF1F05,206,74,44.6,178,10.03,6.48,85,11.3,0.9,0.3,2.1,0.4,2.5,20.5,44.3,14.6,33,31.5,2.8,14.7,14,44.4,1386,6.3,,,,,,,,,,,,,,,,0.05,0.15,3.57,6.55,4.4,17.49,5.67,12.28
CAST/EiJ,m,FFF1M01,246,87,58.6,295,10.01,6.23,77.4,14.3,1.1,0.3,6.4,0.4,3,18.7,43,14.4,33.6,32.8,2.11,14.5,14.1,43,1321,6.9,,,,,,,,,,,,,,,,0.05,0.18,4.19,8.32,6.5,15.01,8.11,17.38
CAST/EiJ,m,FFF1M02,249,77,55.4,140,9.7,7.01,82.9,13.6,1.6,0.3,1.1,0.5,2.7,18.6,42.5,14.1,33.2,32.9,2.19,13.7,13.6,41.3,1380,6.4,,,,,,,,,,,,,,,,0.04,0.16,3.8,8.29,6.4,16.17,8.28,17.22
CAST/EiJ,m,FFF1M03,272,91,66.2,313,9.93,5.67,81.3,14.4,1.3,0.4,2.2,0.5,2.7,17.9,45,14.8,32.8,31.1,2.51,14.7,13.9,44.7,1268,6.3,,,,,,,,,,,,,,,,0.05,0.18,4.09,7.9,6.35,15.97,7.87,17.2
CAST/EiJ,m,FFF1M04,256,95,66.7,274,9.62,7.4,85.6,10.8,1.2,0.3,1.7,0.3,2.4,17.2,43.7,14.5,33.3,31.7,2.64,14,13.3,42,1108,5.3,,,,,,,,,,,,,,,,0.05,0.18,4.04,8,6.4,14.96,8.08,17.68
CAST/EiJ,m,FFF1M05,254,92,64.6,291,9.76,7.35,83.2,11.6,2.4,0.2,1.5,1.1,0.8,17.5,39.5,14.4,36.5,37.4,3.1,14,14.4,38.5,1082,4.7,,,,,,,,,,,,,,,,0.04,0.16,3.84,8.86,6.6,18.5,8.7,18.13
CAST/EiJ,m,FFF1M06,226,91,63.4,193,9.56,6.87,86.5,9.2,1.1,0.1,2.5,0.5,1.1,18,39,14.2,36.4,37.7,3.62,13.6,14.1,37.3,1243,4.7,,,,,,,,,,,,,,,,0.04,0.16,4,8.44,6.35,17.3,8.22,17.79
CAST129SF1,f,FCF1F01,168.5,85,77.4,67,10.21,6.76,80.9,8.9,1.1,0.3,8.5,0.3,3.7,16.3,47.8,16,33.5,31.4,1.88,16.4,15.3,48.8,955,5.4,,,857,1.36,263.19,9.27,70,5.1,11,11.8,40.3,48.2,4,4.2,29,0.07,0.26,4.89,8.44,6.85,13.18,8.13,17.8
CAST129SF1,f,FCF1F02,178,71.5,66.55,55.5,10.13,8.26,86.4,9.4,0.9,0.1,3.1,0.3,3.4,16,46.1,16,34.7,32.1,1.76,16.2,15,46.7,1030,5.7,,,570,10.07,304.36,376.58,106.3,21.5,30.2,13.1,59.1,57.3,25.5,23.5,46.5,0.07,0.28,5.26,8.63,6.6,13.04,7.97,17.96
CAST129SF1,f,FCF1F03,180,80.5,71.8,85.5,10.01,5.01,78.4,7.9,0.7,0,12.6,0.3,4.3,16.6,48.6,16.3,33.5,31.2,1.85,16.3,15.2,48.7,903,5.4,,,838,8.89,295.83,208.77,72.1,18.6,24.7,10.4,41.9,49.6,13,19.6,32,0.07,0.26,4.74,8.93,7.35,11.86,8.61,18.7
CAST129SF1,f,FCF1F04,183,82,73.4,59,10.38,7.33,86.4,10.6,0.4,0.2,2,0.4,2.6,14.2,47.1,16,34,31.9,1.58,16.6,15.6,48.9,967,5.8,,,814,3.32,386.44,708.19,73.8,21,28.3,10.8,43.7,50.9,17,21.8,33.4,0.06,0.26,4.99,8.53,6.6,15.28,7.99,17.69
CAST129SF1,f,FCF1F05,178,87,77.1,74,10.79,5.07,87.7,9.1,0.9,0.2,1.9,0.2,1.7,14.4,47.6,16.1,33.8,31.4,1.47,17.3,16.1,51.4,964,4.9,,,825,1.35,454.88,485.67,72.8,20.4,27.3,9.8,42.9,50.3,3.5,4.1,33.6,0.07,0.26,5.06,8.88,6.6,13.52,8,17.89
CAST129SF1,m,FCF1M01,193,91,80.75,93,10.34,8,81.7,11.4,1.4,0.2,4.8,0.5,2.5,14.7,45.9,15.7,34.1,32,1.82,16.2,15.2,47.5,971,5.2,,,861,1.2,219.66,271.53,69.7,19.4,26.2,9.8,41.2,49.4,5.5,6.4,31.9,0.06,0.25,4.9,9.41,8.15,11.41,9.53,20.8
CAST129SF1,m,FCF1M02,181.33,80.66,70.23,82.33,9.58,4.49,82.9,14.1,0.7,0.1,2,0.2,4,16.6,49.2,16,32.5,30.9,2.01,15.3,14.6,47.1,1286,5.8,,,794,10.73,257.12,233.89,76.4,20.2,26.8,11.1,41.9,48.1,23,27.3,31.3,0.06,0.26,5.19,9.5,7.95,9.81,9.26,20.74
CAST129SF1,m,FCF1M03,186,95.5,82.15,104,10.5,7.82,86.3,9.3,1,0.1,2.7,0.6,1.6,14.8,47.2,16,33.9,31.1,1.77,16.8,15.4,49.6,1200,11.4,,,867,0.97,231.08,3.57,69.2,5.5,11,11.5,39.8,47.9,2,1.9,28.8,0.06,0.23,4.69,9.59,7.8,14.74,9.67,21.06
CAST129SF1,m,FCF1M04,190.5,89,73.95,174,10.24,7.85,86.4,9.3,1.3,0.2,2.5,0.4,2,15.1,47.4,16.3,34.5,31,1.92,16.7,15.1,48.5,1179,12.5,,,790,7.67,271.28,275.68,76.3,19.5,26.1,10.4,42.3,48.5,16.5,20.2,32.4,0.06,0.23,4.54,9.12,7.7,12.55,9.23,19.75
CAST129SF1,m,FCF1M05,197,94,80.4,61,10.96,9.48,86.2,9,1,0.3,2.8,0.6,2.1,13.9,46.7,15.6,33.4,31.3,1.53,17.1,16,51.2,968,5,,,835,0.74,425.08,174.88,71.8,11.3,15.6,10.3,32.1,37.9,17,20.1,22.3,0.05,0.22,4.79,9.34,7.5,14.1,9.1,19.93
CASTAF1,f,FAF1F01,170.5,56.5,46.15,74,10.19,3.96,86.1,11.8,0.6,0.2,1.1,0.3,1.6,14.5,45,15.4,34.3,32.1,1.68,15.7,14.7,45.8,1146,7,,,737,11.15,306.86,131.74,82.9,19.4,27.6,10.8,48.9,53.8,34,33.4,38.6,0.07,0.24,4.61,8.18,7,11.67,8.25,18.23
CASTAF1,f,FAF1F02,187.5,52,45,78,10.64,4.95,82.4,15,0.9,0.1,1.2,0.3,1.6,15.3,44.9,15.5,34.4,32.4,1.73,16.5,15.5,47.8,1065,5.4,,,764,4.9,420.96,345.68,78.8,20.5,28.1,10.2,46.6,52.7,10.5,10.3,36.9,0.07,0.25,4.69,8.41,7.25,10.95,8.4,18.35
CASTAF1,f,FAF1F03,168.5,52.5,44.2,89,10.28,4.58,75.8,20.3,0.7,0.1,2.8,0.3,1.6,14.9,44.2,15.6,35.3,32.7,1.85,16.1,14.9,45.5,1059,5.3,,,847,2.8,352.52,263.7,70.9,21.1,27.6,9.1,39.9,47.4,18,21.6,31.2,0.07,0.26,4.92,8.13,6.95,11.79,8.11,18.21
CASTAF1,f,FAF1F04,187,69,49.5,91,10.69,6.65,85.5,10.4,0.9,0.3,2.4,0.4,2.4,14.5,43.9,15.2,34.6,33.5,1.82,16.2,15.7,46.9,1058,5,,,,,,,,,,,,,,,,0.06,0.24,4.97,8.38,6.4,12.67,7.69,17.36
CASTAF1,f,FAF1F05,138,62,51,119,10.66,6.11,85.2,12,0.7,0.2,1.7,0.3,1.7,15,44.1,15.1,34.2,33.4,1.93,16.1,15.7,47,1052,5.3,,,,,,,,,,,,,,,,0.06,0.25,5.06,8.53,6.6,13.67,7.97,17.87
CASTAF1,m,FAF1M01,227,72.5,61.4,144,10.74,7.78,84.7,11,1.6,0.1,2.1,0.4,1.8,14,43.2,14.4,33.3,32.8,1.92,15.4,15.2,46.4,1113,5.1,,,771,4.36,296.52,175.41,77.9,20,27.7,10.4,45.3,51.4,14,14.1,35.5,0.06,0.22,4.56,10.2,8.9,15.76,11.05,23.89
CASTAF1,m,FAF1M02,226,64.5,55.2,89,10.3,6.73,84.9,9.9,1.4,0.1,3.3,0.4,2.2,14.2,43.1,14.9,34.6,32.4,2.02,15.4,14.4,44.4,1065,6.3,,,746,12.29,344.57,140.88,82,19.6,27.6,10.7,45.3,50.4,35.5,46,35.1,0.06,0.22,4.64,10.09,8.9,16.48,10.97,23.75
CASTAF1,m,FAF1M03,224.5,73.5,61,140.5,10.27,9.44,84,11.4,1.9,0.1,2.2,0.4,2,13.9,44.5,15,33.8,32.2,1.7,15.4,14.7,45.6,1054,6.5,,,777,9.42,362.12,223.81,78,20.4,28.3,10.4,46.5,52.6,20,21.2,36.6,0.05,0.21,4.44,9.89,8.65,18.77,11.05,23.52
CASTAF1,m,FAF1M04,230,71,59.95,129.5,10.82,7.26,84.8,11.5,1.6,0.2,1.5,0.3,1.9,14,44.7,15,33.6,31.8,1.67,16.2,15.4,48.4,1152,5.7,,,834,2.02,383.85,271.65,72,17.7,24.6,9.7,42,49.6,12.5,15.1,32.8,0.05,0.21,4.37,9.08,8.4,13.1,10.07,21.36
CASTAF1,m,FAF1M05,228.5,66.5,58.65,115,11.05,8.91,87.2,9.1,1.7,0.2,1.5,0.4,1.6,13.6,43.8,14.9,34.1,32.2,1.74,16.5,15.6,48.4,1021,5.9,,,876,6.97,245.86,48.67,68.8,14.9,19.9,10.1,38.2,46.2,21,30.1,28.5,0.05,0.21,4.35,10.64,9.15,18.33,11.64,24.59
CASTB6F1,f,FBF1F01,304.5,105.5,82.15,294,9.74,9.84,93.5,3.9,0.6,0.2,1.1,0.8,2.2,15.2,46.8,15.8,33.8,31.2,1.55,15.4,14.2,45.6,1249,5.5,,,,,,,,,,,,,,,,0.06,0.26,5.15,8.65,7.05,12.27,8.44,18.79
CASTB6F1,f,FBF1F02,266,78,66.35,189,10.17,9.37,88.5,7.9,0.7,0.2,1.8,0.9,1.2,14.9,45.9,15.5,33.9,31.8,1.55,15.8,14.8,46.6,1078,5.7,,,,,,,,,,,,,,,,0.06,0.24,4.92,9.29,7.35,12.97,8.78,19.26
CASTB6F1,f,FBF1F03,274.5,78,67.75,164,10.18,7.6,87.6,8.7,1.3,0.2,1.5,0.7,1.6,14.3,45.1,15.5,34.3,31.7,1.56,15.7,14.6,45.9,1230,7.4,,,,,,,,,,,,,,,,0.06,0.24,4.83,8.26,6.95,12.4,8.35,18.22
CASTB6F1,f,FBF1F04,301,89.5,76.9,198.5,10.6,9.01,86.7,6.8,0.6,0.2,5,0.8,1.1,14.2,46.3,15.3,33,31.2,1.51,16.2,15.3,49.1,956,5.1,,,,,,,,,,,,,,,,0.06,0.23,4.69,9.05,7.45,12.94,9.04,19.36
CASTB6F1,f,FBF1F05,211,74,61,48,10.01,6.83,90.8,6.8,0.4,0.2,1.3,0.4,4.4,15.6,45.4,15.3,33.7,32.7,1.69,15.3,14.9,45.5,1169,5.3,,,,,,,,,,,,,,,,0.06,0.26,5.35,8.92,7.3,13.19,8.75,19.66
CASTB6F1,m,FBF1M01,314.5,101.5,87.25,180,9.42,6.66,88.4,7.6,1.1,0.2,2,0.7,2.6,14,46.1,15.5,33.6,31.3,1.58,14.6,13.6,43.4,1344,6,,,,,,,,,,,,,,,,0.05,0.23,4.57,9.76,9.3,17.4,11.73,24.73
CASTB6F1,m,FBF1M02,330,86.5,73.9,113,10.37,9.28,88.7,7.4,1.2,0.2,1.8,0.7,1.6,13.5,46,15.3,33.2,31.4,1.55,15.9,15,47.7,1306,5.2,,,,,,,,,,,,,,,,0.06,0.25,5,9.11,8.35,11.91,9.87,21.52
CASTB6F1,m,FBF1M03,239,78,64.5,82,10.94,7.55,90.3,5.9,0.5,0.1,2.8,0.4,3.1,14.5,46.8,15.2,32.6,31.3,1.56,16.7,16,51.2,1183,6.6,,,,,,,,,,,,,,,,0.06,0.26,5.29,9.99,8.5,13.05,10.23,22.74
CASTB6F1,m,FBF1M04,183,79,61.6,51,10.1,4.95,90.3,5.7,1,0,2.7,0.1,3,15,44.2,15.1,34.2,33.4,1.75,15.3,14.9,44.7,1307,4.7,,,,,,,,,,,,,,,,0.05,0.24,5,10.65,9.1,16.66,11.17,24.34
CASTB6F1,m,FBF1M05,233,79,64.6,104,10.23,10.34,87.8,6.3,0.8,0.2,4.2,0.7,2.3,13.6,48,15.6,32.5,31.5,2.07,16,15.5,49.1,1075,4.9,,,,,,,,,,,,,,,,0.05,0.2,4.39,10.19,8.8,18.91,11.11,24.3
CASTNODF1,f,FDF1F01,144,68,55.1,88,9.86,4.32,82.4,12.7,2,0.3,2.1,0.6,3,14.6,45.1,15.5,34.4,33.3,1.75,15.3,14.8,44.4,1211,4.9,,,,,,,,,,,,,,,,0.07,0.29,5.36,9.17,7.7,12.34,9.08,19.97
CASTNODF1,f,FDF1F02,179,70,53.2,129,10.2,6.11,85,11.6,1.6,0.2,1.3,0.4,3.1,14.9,46,15.6,33.9,32.7,1.7,15.9,15.4,46.9,1130,4.7,,,,,,,,,,,,,,,,0.07,0.28,5.24,8.78,6.85,13.07,8.29,18.47
CASTNODF1,f,FDF1F03,148,70,61.6,118,9.04,6.03,83.6,12.9,1,0.55,1.55,0.35,4.5,15.4,47,16,34.05,32.75,2.54,14.5,13.95,42.5,1245,5.6,,,,,,,,,,,,,,,,0.07,0.25,4.74,8.77,7.55,13.01,9.02,19.47
CASTNODF1,f,FDF1F04,150,74,61.5,133,9.71,7,83.7,13.1,0.9,0.2,1.6,0.5,5.3,15.6,47.6,16,33.6,32.1,2.45,15.5,14.9,46.2,1225,6.2,,,,,,,,,,,,,,,,0.07,0.27,5.09,9.03,7.8,11.93,9.16,20.32
CASTNODF1,f,FDF1F05,190,65,57.4,88,10.42,7.06,83.9,11.5,0.5,0.2,3.5,0.4,4.7,15.1,47.9,15.9,33.1,31.8,2.4,16.5,15.9,49.9,1103,4.9,,,,,,,,,,,,,,,,0.07,0.27,5,8.35,6.95,12.63,8.26,18.23
CASTNODF1,m,FDF1M01,229,111,80.4,296,10.13,5.96,84.3,10.1,1.4,0.1,3.7,0.3,3,13.8,46.6,15.7,33.8,32.2,1.59,15.9,15.2,47.1,1169,4.8,,,,,,,,,,,,,,,,0.05,0.24,4.97,10.17,9.05,13.47,10.93,23.47
CASTNODF1,m,FDF1M02,196,101,75.2,292,10.11,6.72,85.9,10.9,1.4,0.1,1.1,0.5,3.2,13.6,45.5,15.7,34.4,32.8,1.67,15.8,15.1,46,1270,4.9,,,,,,,,,,,,,,,,0.05,0.24,5,10.52,9,14.5,11.11,24.31
CASTNODF1,m,FDF1M03,190,94,74.6,185,9.94,5.84,83.8,9.6,1.5,0.1,4.8,0.2,2.5,13.6,45.9,15.8,34.4,32.4,1.59,15.7,14.8,45.6,1113,4.8,,,,,,,,,,,,,,,,0.06,0.26,5.3,10.92,9.65,14.6,11.71,25.34
CASTNODF1,m,FDF1M04,247,85,74.9,85,10.02,6.27,85.4,9.2,1,0.3,3.8,0.2,3.9,13.7,47.7,16.1,33.8,31.6,2.27,16.2,15.1,47.8,1267,5.2,,,,,,,,,,,,,,,,0.06,0.25,4.93,10.5,9.6,18.9,11.89,26.17
CASTNODF1,m,FDF1M05,233,78,66.2,140,10.29,6.74,84.5,10.2,1.3,0.1,3.6,0.2,3.3,13.8,47.4,16,33.7,31.8,2.27,16.5,15.5,48.8,1114,4.7,,,,,,,,,,,,,,,,0.05,0.24,4.89,10.13,9.1,16.34,11.24,24.5
CASTNZOF1,f,FEF1F01,180,90,74.1,104,11.19,5.62,83.3,12.1,0.7,0.1,3.6,0.2,2,14.6,43.4,14.6,33.6,32.5,1.61,16.3,15.7,48.5,927,4.5,,,838,1.15,432.17,531.52,71.6,21.8,28.5,10.1,39.2,46.3,15.5,17.9,29.6,0.07,0.27,5.23,9.89,7.85,14.77,9.72,21.23
CASTNZOF1,f,FEF1F02,167,87,71.7,104,10.99,6.45,80,10.7,0.6,0.1,8.4,0.3,1.6,14.3,43.9,14.7,33.5,32.3,1.6,16.2,15.6,48.3,880,4.8,,,802,1.84,328.43,448.47,74.8,21.8,28.7,10.2,42.1,48.7,12,13.2,32.4,0.07,0.28,5.42,9.63,7.65,14.03,9.3,20.54
CASTNZOF1,f,FEF1F03,197,83,70.9,118,10.58,6.39,85.4,8.2,0.7,0.2,5.1,0.3,2,14.7,43.7,15,34.3,32.4,1.61,15.8,15,46.2,1011,4.7,,,861,11.19,264.22,296.38,70.5,19.8,25.9,10.2,38.1,45.8,22,29.6,28.4,0.06,0.26,4.86,9.07,7.8,13.93,9.61,20.84
CASTNZOF1,f,FEF1F04,170,96,73.9,159,10.69,6.49,84,11.4,1.1,0.1,3.1,0.3,2,14.4,44.1,15,34.1,32.5,1.66,16,15.3,47.1,1029,5.3,,,775,20.4,141.94,101.32,80.4,13.6,21.1,12.3,43.5,49.5,27,45.6,31.7,0.07,0.26,4.83,8.91,7.9,13.03,9.47,20.41
CASTNZOF1,f,FEF1F05,168,87,68.8,121,11.02,7.24,80.4,11.3,0.9,0.1,7,0.3,2.7,15.2,43.8,14.5,33,32.1,1.7,15.9,15.5,48.3,883,4.6,,,839,0.97,290,262.07,71.6,21.3,27.8,9.7,37.6,44.4,22.5,26.1,28.4,0.07,0.27,5.15,8.5,6.85,14.3,8.32,18.52
CASTNZOF1,m,FEF1M01,230,117,89.7,296,10.75,8.61,88.1,7.3,1.6,0.1,2.5,0.4,1.8,13.9,44.3,14.6,33,31.9,1.57,15.7,15.2,47.6,1103,4.6,,,805,2.02,433.39,436.64,74.5,21.3,28.6,11.1,42,48.7,16.5,18.5,31.4,0.05,0.23,4.72,12.04,10.45,22.93,14.17,29.9
CASTNZOF1,m,FEF1M02,199,122,93.9,282,10.79,7.24,87.8,8.3,1.5,0.1,2.1,0.3,2.2,14.8,46.5,15,32.2,30.8,1.74,16.2,15.5,50.2,1226,4.7,,,818,1.64,476.71,574.5,73.4,21.9,28.7,10,41.6,48.5,12.5,13.9,32.1,0.05,0.24,4.7,13.1,11.65,25.94,16.62,35.09
CASTNZOF1,m,FEF1M03,235,124,90.2,319,10.45,6.09,86.2,10.1,1.5,0.2,1.8,0.3,1.7,14.4,45.4,14.9,32.8,31.9,1.73,15.6,15.1,47.5,1335,4.9,,,721,6.51,669.9,607.71,83.6,21.2,29.2,12.1,46.9,51.2,19,17.3,35.3,0.05,0.25,4.61,12.09,11.05,22.25,15.27,32.52
CASTNZOF1,m,FEF1M04,266,112,96.2,215,9.8,5.38,87.5,7.4,0.6,0.1,3.9,0.5,3.3,14.2,46,15.2,33,31.4,2.33,14.9,14.1,45,1186,6.4,,,806,1.07,309.75,370.74,74.4,22.2,29.5,10.9,40,46.4,20.5,23.6,29.6,,,,,,,,
CASTNZOF1,m,FEF1M05,279,115,96.8,246,10.27,5.45,86.4,10.2,0.6,0.3,2.2,0.3,3.9,13.9,45.3,15,33.2,31.6,2.35,15.4,14.7,46.5,1179,4.7,,,829,0.74,280.96,334.71,72.4,19.9,26.8,10.4,40.9,48.1,15.5,18.3,31,0.06,0.24,4.62,12.72,11.55,27.17,16.63,34.94
CASTPWKF1,f,FGF1F01,191,77,58.1,169,10.13,9.76,83.4,12.5,0.7,0.2,2.8,0.4,2.7,18.6,44.6,15.2,34.2,32.5,3.49,15.4,14.7,45.1,993,5,,,,,,,,,,,,,,,,0.06,0.24,5.28,8.32,6.25,14.83,7.48,16.29
CASTPWKF1,f,FGF1F02,172,71,56.1,133,10.73,5.08,86.3,11.3,0.5,0.1,1.4,0.3,1.5,14.7,43.5,14.9,34.2,32.3,1.86,16,15.1,46.7,1140,6,,,,,,,,,,,,,,,,0.05,0.18,4.27,7.61,5.35,12.98,6.46,14.41
CASTPWKF1,f,FGF1F03,201,80,58.5,178,10.23,8.94,83.55,9.65,0.65,0.25,5.5,0.4,1.5,15.95,44.85,15.2,33.95,32.25,2.43,15.55,14.8,45.9,968,7.35,,,,,,,,,,,,,,,,0.06,0.21,4.64,7.79,5.3,14.75,6.45,15.38
CASTPWKF1,f,FGF1F04,190,71,57.4,104,10.71,5.32,77.15,10.65,0.7,0.15,11.05,0.25,1.3,15.85,44.2,14.3,32.4,32.35,2.24,15.4,15.35,47.35,861.5,5.15,,,,,,,,,,,,,,,,0.05,0.19,4.47,7.87,5.6,12.69,6.68,14.78
CASTPWKF1,f,FGF1F05,187,72,55.9,156,10.93,8.1,81.9,8.35,0.65,0.3,8.45,0.45,1.65,14.95,44.7,15.1,33.8,32.1,2.05,16.5,15.7,48.85,798,5.2,,,,,,,,,,,,,,,,0.05,0.2,4.37,8.09,6,15.41,7.48,16.37
CASTPWKF1,m,FGF1M01,213,95,72.9,252,10.12,5.81,72.8,8,0.8,0.2,18,0.2,2.1,15.8,46.3,15.3,33,31.6,2.4,15.4,14.8,46.9,1119,4.9,,,,,,,,,,,,,,,,0.05,0.16,4.1,7.64,5.35,14.16,6.61,14.44
CASTPWKF1,m,FGF1M02,245,88,72.2,229,10.02,9.03,88.2,7.8,0.6,0.3,2.7,0.4,1.5,14.3,44.4,15,33.8,32.7,2.63,15.1,14.6,44.5,1124,4.9,,,,,,,,,,,,,,,,0.05,0.19,4.59,8.55,6.2,14.4,7.67,17.01
CASTPWKF1,m,FGF1M03,204,78,65.7,171,10.03,6.65,84.3,10.5,0.6,0.2,4.1,0.3,2.6,15.2,46.3,15.3,32.9,31.3,2.34,15.3,14.5,46.5,1292,4.9,,,,,,,,,,,,,,,,0.05,0.2,4.83,8.57,6.4,16.12,7.84,17.56
CASTPWKF1,m,FGF1M04,199,88,66.3,288,10.08,7.59,86.2,6.7,0.5,0.1,6.1,0.4,1.9,14.4,44.7,15,33.6,32.3,2.38,15.1,14.5,45,1080,5,,,,,,,,,,,,,,,,0.06,0.2,4.78,7.98,5.8,17.22,7.09,15.95
CASTPWKF1,m,FGF1M05,248,88,65.5,287,9.94,8.55,85.5,9.3,0.5,0.2,4,0.5,1.8,16.4,47.1,15.5,32.9,31.5,2.37,15.4,14.8,46.8,1304,4.9,,,,,,,,,,,,,,,,0.05,0.19,4.57,8.21,6.1,15.09,7.28,16.47
CASTWSBF1,f,FHF1F01,164,77,59.9,95,10.22,8.52,86.6,10.4,1.2,0.2,1.2,0.5,2.6,16.4,44.1,15.1,34.2,33.7,1.72,15.4,15.2,45.1,1384,5.6,,,,,,,,,,,,,,,,,,,,,,,
CASTWSBF1,f,FHF1F02,187,68,58,97,10.33,8.84,81.2,9.3,1.4,0.2,7.3,0.6,1.65,15.8,43.85,15.3,34.9,33.45,1.73,15.8,15.15,45.3,1203.5,7.6,,,,,,,,,,,,,,,,0.06,0.2,4.43,7.86,5.8,12.51,6.9,15.1
CASTWSBF1,f,FHF1F03,175,73,55.9,70,10.85,8.7,86.5,10.2,1.2,0.2,1.4,0.5,2,14.1,42.1,14.3,34,33.7,1.61,15.5,15.4,45.6,1320,5,,,,,,,,,,,,,,,,0.06,0.18,3.92,6.97,5.15,12.83,6.16,13.57
CASTWSBF1,f,FHF1F04,207,77,61.8,96,10.4,7.72,87.2,9.5,1.3,0.4,1.1,0.4,1.6,16.2,43.3,15.4,35.5,34.6,1.79,16,15.6,45,1435,5.8,,,,,,,,,,,,,,,,0.06,0.2,4.19,7.31,5.35,16.46,6.51,14.24
CASTWSBF1,f,FHF1F05,187,68,55.2,92,10.42,8.85,83.3,10.5,1.5,0.3,3.7,0.7,2.2,15.5,44.4,15.4,34.8,33.9,1.66,16.1,15.7,46.2,1204,7.3,,,,,,,,,,,,,,,,0.05,0.19,4.13,7.29,5.65,12.78,6.73,14.51
CASTWSBF1,m,FHF1M01,172,103,85.2,167,9.71,8.08,89.1,7.4,1,0.1,2.1,0.3,2.2,15.4,46,15.8,34.5,32.6,2.1,15.4,14.5,44.6,1485,5.5,,,,,,,,,,,,,,,,0.05,0.18,4.15,8.13,6.6,12.48,7.88,16.57
CASTWSBF1,m,FHF1M02,183,94,79.6,130,9.48,7.53,86.5,10.2,1.1,0.1,1.3,0.9,2.9,14.7,47.9,16.1,33.7,32.2,1.65,15.3,14.6,45.4,1524,5.7,,,,,,,,,,,,,,,,0.06,0.19,4.12,6.84,5.2,19.3,6.36,13.99
CASTWSBF1,m,FHF1M03,189,85,70.5,106,10.75,8.34,83.6,9.1,1.1,0.3,5.6,0.3,2.4,15,44.6,15.2,34,33.6,1.71,16.3,16.1,48,1217,6.3,,,,,,,,,,,,,,,,0.05,0.21,4.75,8.19,6.35,13.95,7.75,16.93
CASTWSBF1,m,FHF1M04,189,85,74.9,110,10.42,8.57,87.9,8.9,1.1,0.3,1.4,0.3,2,14.5,43.8,15.4,35.2,34.4,1.8,16.1,15.7,45.6,1421,6.7,,,,,,,,,,,,,,,,0.05,0.18,4.26,8,6.45,13.23,7.77,16.75
