strain,sex,animal_id,WBC,RBC,RDW,MCV,MCH,MCHC,HGB,HCT,PLT,MPV,PDW,PLCR,PCT
NZO/HlLtJ,m,30270593,8.2,10.90,14.9,45,14.1,31.3,15.4,49.2,1359,7.0,6.5,4.6,0.95
NZO/HlLtJ,m,30270594,7.0,14.10,15.2,46,14.9,32.3,21.0,65.1,1888,7.2,6.5,5.9,1.35
NZO/HlLtJ,m,30280255,6.4,16.19,16.8,45,15.5,34.3,25.1,73.1,819,7.2,6.7,7.1,0.59
NZO/HlLtJ,m,30280256,6.9,12.04,15.6,45,15.0,33.1,18.0,54.4,1094,6.9,6.4,4.6,0.75
NZO/HlLtJ,m,30289720,11.1,12.71,15.4,46,15.2,33.2,19.3,58.2,1407,6.9,6.6,4.7,0.97
PWK/PhJ,f,30250343,7.5,10.81,13.0,47,16.6,35.5,17.9,50.4,627,6.5,5.8,4.0,0.41
PWK/PhJ,f,30260226,8.0,11.58,12.2,46,16.1,35.1,18.7,53.3,767,6.4,5.9,3.3,0.49
PWK/PhJ,f,30260227,8.0,14.57,12.6,46,15.8,34.5,23.0,66.6,923,6.4,6.0,3.2,0.59
PWK/PhJ,f,30270604,7.0,12.26,12.7,46,16.0,34.9,19.6,56.1,595,6.3,5.8,2.4,0.37
PWK/PhJ,f,30270605,4.8,11.16,12.5,47,16.1,34.6,18.0,52.0,553,6.2,5.8,2.0,0.34
PWK/PhJ,f,30280335,5.4,10.65,12.8,46,16.3,35.6,17.4,48.9,657,6.3,5.7,3.3,0.41
PWK/PhJ,f,30280336,4.3,10.53,12.8,46,16.2,35.1,17.1,48.7,863,6.2,5.6,2.5,0.53
PWK/PhJ,f,30289700,9.8,11.60,12.6,46,16.5,36.2,19.1,52.8,806,6.6,6.2,3.8,0.53
PWK/PhJ,f,30289701,12.2,10.01,12.4,46,17.1,37.6,17.1,45.5,662,6.4,6.0,3.0,0.42
PWK/PhJ,f,30289702,11.0,10.80,12.5,45,16.3,35.9,17.6,49.0,629,6.2,5.5,2.4,0.39
PWK/PhJ,m,30260223,1.5,9.08,14.2,56,17.7,31.5,16.1,51.1,1020,6.4,5.6,3.2,0.65
PWK/PhJ,m,30260224,2.9,8.67,13.9,59,18.8,31.8,16.3,51.3,732,6.6,6.0,3.9,0.49
PWK/PhJ,m,30270600,5.8,10.58,13.8,45,16.5,37.0,17.5,47.3,564,6.4,6.3,4.2,0.36
PWK/PhJ,m,30270601,5.6,10.13,13.0,45,15.5,34.6,15.7,45.4,496,6.4,5.8,3.7,0.32
PWK/PhJ,m,30270606,6.7,12.27,13.8,45,15.4,34.2,18.9,55.3,630,6.2,5.6,2.7,0.39
PWK/PhJ,m,30280325,5.1,9.60,20.5,43,13.5,31.3,13.0,41.5,1984,6.6,6.1,6.4,1.32
PWK/PhJ,m,30280328,7.0,10.65,13.5,45,15.3,34.1,16.3,47.8,672,6.2,5.8,3.1,0.42
PWK/PhJ,m,30289695,5.9,13.20,13.5,43,14.6,33.8,19.3,57.1,234,6.8,6.6,7.8,0.16
PWK/PhJ,m,30289697,8.5,11.90,14.2,43,15.3,35.5,18.2,51.3,820,6.5,6.2,3.7,0.53
PWK/PhJ,m,30289698,11.3,12.00,13.5,43,15.0,34.7,18.0,51.9,758,6.5,6.4,3.5,0.49
PWK/PhJ,m,30289703,7.1,12.39,14.1,44,15.3,34.8,19.0,54.6,226,7.5,7.7,13.1,0.17
WSB/EiJ,f,30250349,2.2,9.19,13.7,46,14.9,32.3,13.7,42.4,729,5.7,4.8,2.1,0.42
WSB/EiJ,f,30260191,0.8,10.81,13.4,46,14.5,31.7,15.7,49.5,831,5.3,4.5,0.4,0.44
WSB/EiJ,f,30260192,1.1,10.87,13.6,45,14.5,32.1,15.8,49.2,810,5.4,4.5,0.9,0.44
WSB/EiJ,f,30260193,2.2,10.71,13.9,45,14.5,32.4,15.5,47.9,868,5.4,4.5,0.9,0.47
WSB/EiJ,f,30270568,6.2,10.27,13.1,46,15.6,34.0,16.0,47.0,957,5.6,4.7,1.6,0.53
WSB/EiJ,f,30270569,6.7,10.59,12.5,46,16.1,35.1,17.0,48.5,780,5.4,4.6,0.8,0.42
WSB/EiJ,f,30270570,3.1,10.86,12.6,45,14.8,32.9,16.1,49.0,887,5.4,4.4,1.0,0.48
WSB/EiJ,f,30270571,4.0,10.32,12.5,46,15.5,33.7,16.0,47.5,874,5.6,4.9,1.4,0.49
WSB/EiJ,f,30280346,1.0,10.79,13.9,46,14.9,32.8,16.1,49.1,664,5.3,4.3,0.7,0.35
WSB/EiJ,f,30280347,,10.69,13.7,46,15.2,32.7,16.2,49.5,576,5.2,4.5,0.5,0.30
WSB/EiJ,m,30250345,5.8,11.16,13.4,46,14.8,31.9,16.5,51.8,1011,5.4,4.6,0.6,0.54
WSB/EiJ,m,30250346,3.7,10.67,15.5,48,15.3,32.0,16.3,50.9,1247,5.4,4.8,0.2,0.68
WSB/EiJ,m,30250347,5.0,10.69,13.4,45,14.7,32.5,15.7,48.3,908,5.5,4.5,1.4,0.50
WSB/EiJ,m,30260195,5.9,10.94,14.0,46,15.3,32.9,16.7,50.7,1121,5.5,4.6,1.4,0.62
WSB/EiJ,m,30260196,3.0,10.16,13.9,46,14.9,32.7,15.1,46.2,1150,5.5,4.8,0.9,0.63
WSB/EiJ,m,30260197,5.4,10.49,14.2,47,15.5,33.3,16.3,49.0,1010,5.5,4.9,1.0,0.56
WSB/EiJ,m,30270564,8.2,12.11,12.8,45,14.5,32.0,17.6,55.0,1202,5.6,4.7,1.9,0.67
WSB/EiJ,m,30270565,8.8,10.51,15.6,48,15.6,32.3,16.4,50.7,1116,5.7,4.9,2.5,0.64
WSB/EiJ,m,30270572,8.2,12.00,13.1,46,14.7,32.1,17.6,54.9,217,7.6,6.7,15.2,0.17
WSB/EiJ,m,30270573,6.5,10.68,12.7,45,14.6,32.2,15.6,48.4,975,5.3,4.4,0.5,0.52
WSB/EiJ,m,30270574,6.3,11.15,13.0,45,15.2,33.7,17.0,50.4,1086,5.3,4.3,0.6,0.57
WSB/EiJ,m,30280340,2.0,11.22,14.5,46,14.3,31.5,16.1,51.1,872,5.9,5.1,1.8,0.51
