strain,sex,animal_id,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,pctN,pctL,pctM,pctE,pctB
C57BL/6J,m,10:7m,3.5,9.6,15.1,46.8,48.9,15.7,32.2,1238,4.3,19.3,6.0,84.7,7.2,1.2,0.9
C57BL/6J,m,11:7m,7.4,9.9,14.9,45.2,45.6,15.1,33.0,1199,3.9,16.5,8.8,86.6,0.2,4.4,0.0
C57BL/6J,m,12:7m,7.9,10.2,15.6,48.4,47.3,15.2,32.2,1342,4.0,20.2,6.9,87.7,3.6,1.1,0.7
C57BL/6J,m,13:7m,2.8,9.0,14.4,44.5,49.3,15.9,32.3,1391,4.2,18.7,10.0,87.3,0.5,1.8,0.4
C57BL/6J,m,14:7m,5.7,9.6,15.2,46.8,48.7,15.8,32.4,1374,4.2,18.9,11.6,84.0,0.2,4.1,0.1
C57BL/6J,m,1:7m,7.4,9.8,14.9,45.7,46.6,15.2,32.6,1230,4.1,18.6,5.8,91.2,1.4,1.5,0.4
C57BL/6J,m,2:7m,5.4,9.5,14.8,45.8,48.4,15.6,32.2,1313,4.2,20.4,10.2,87.0,0.5,2.2,0.1
C57BL/6J,m,3:7m,9.4,9.7,15.2,45.8,47.3,15.7,33.1,1373,4.1,18.7,5.6,90.3,1.3,2.2,0.6
C57BL/6J,m,4:7m,8.3,10.0,15.1,47.0,47.0,15.1,32.1,1426,4.0,19.5,5.8,92.6,0.2,1.3,0.1
C57BL/6J,m,5:7m,7.1,9.0,13.5,41.4,45.8,14.9,32.6,1178,4.3,16.7,17.8,79.3,1.6,1.1,0.2
C57BL/6J,m,6:7m,1.8,9.5,14.7,45.5,47.8,15.5,32.4,1314,4.2,19.3,10.8,86.4,0.6,2.2,0.0
C57BL/6J,m,7:7m,10.2,9.8,14.8,43.8,44.7,15.1,33.7,1253,4.0,17.7,7.6,88.4,1.4,2.6,0.1
C57BL/6J,m,8:7m,7.8,9.8,14.7,44.0,45.1,15.0,33.3,1391,4.2,18.3,13.7,83.7,0.2,2.3,0.1
C57BL/6J,m,9:7m,2.4,9.4,14.7,45.2,48.1,15.6,32.4,1334,4.2,20.4,12.8,78.1,6.9,0.6,1.6
CAST/EiJ,f,10:2f,3.20,,,,42.8,14.4,33.6,968,,21.0,5.50,92.7,0.900,0.800,0.100
CAST/EiJ,f,11:2f,4.50,10.8,15.3,45.4,42.2,14.2,33.7,787,3.00,19.4,7.40,90.1,0.500,2.00,0.100
CAST/EiJ,f,12:2f,5.90,11.0,15.8,47.3,42.9,14.3,33.3,777,3.40,19.3,6.40,89.5,2.10,1.90,0.100
CAST/EiJ,f,13:2f,8.90,11.2,15.8,46.8,41.9,14.2,33.8,857,3.30,18.6,5.70,93.0,0.400,0.900,0.100
CAST/EiJ,f,14:2f,5.00,9.70,14.9,43.4,44.8,15.4,34.3,809,4.50,22.8,6.80,90.5,0.800,2.00,0.0
CAST/EiJ,f,15:2f,5.20,10.7,15.6,45.8,42.8,14.6,34.1,828,3.60,20.7,6.70,91.9,0.500,0.900,0.0
CAST/EiJ,f,16:2f,4.50,9.60,15.2,43.7,45.7,15.9,34.8,812,,,,83.3,0.500,2.00,0.0
CAST/EiJ,f,17:2f,7.30,10.7,15.3,44.6,41.6,14.3,34.3,747,3.40,19.6,7.30,91.1,0.300,1.30,0.0
CAST/EiJ,f,18:2f,3.00,11.1,15.5,46.2,41.8,14.0,33.5,789,3.20,19.4,7.70,89.6,0.700,2.10,0.0
CAST/EiJ,f,19:2f,4.00,10.5,15.1,44.5,42.2,14.3,33.9,797,3.40,21.4,7.00,90.8,0.600,1.60,0.100
CAST/EiJ,m,1:2m,5.50,9.90,15.9,46.5,47.2,16.1,34.2,1289,3.90,23.6,8.30,89.9,1.10,0.800,0.0
CAST/EiJ,m,2:2m,4.60,9.50,15.1,44.3,46.9,15.9,34.0,1223,4.10,20.5,12.6,83.1,1.20,3.00,0.0
CAST/EiJ,m,3:2m,7.90,10.1,15.7,46.4,46.0,15.6,33.9,1115,3.10,20.0,6.00,92.2,0.700,0.900,0.200
CAST/EiJ,m,4:2m,7.80,10.4,15.8,46.7,44.8,15.2,33.9,1027,3.40,22.7,4.30,85.3,2.60,7.20,0.600
CAST/EiJ,m,5:2m,4.00,9.50,15.0,44.2,46.5,15.8,33.9,1421,5.50,28.3,10.4,86.1,1.90,1.40,0.100
CAST/EiJ,m,6:2m,7.60,10.2,15.9,46.7,46.0,15.6,33.9,1194,,23.8,4.90,93.3,0.600,1.20,0.100
CAST/EiJ,m,7:2m,3.40,11.2,16.1,48.3,43.2,14.4,33.3,934,3.40,23.8,11.2,85.6,0.700,2.40,0.0
CAST/EiJ,m,8:2m,4.10,9.60,15.0,43.9,45.6,15.5,34.1,1437,4.90,23.0,7.70,88.9,0.800,2.40,0.200
CAST/EiJ,m,9:2m,4.90,9.60,15.3,45.6,47.4,15.9,33.6,1174,4.20,21.7,12.5,84.7,1.30,1.50,0.0
CBA/CaJ,f,15:77f,8.00,9.90,16.0,46.7,47.1,16.1,34.2,1161,4.20,19.7,17.3,78.5,1.90,2.10,0.300
CBA/CaJ,f,16:77f,6.40,9.70,15.7,45.9,47.1,16.1,34.2,922,4.40,17.6,10.4,85.4,1.10,3.00,0.200
CBA/CaJ,f,17:77f,8.90,9.30,14.9,43.8,47.3,16.1,34.0,880,4.30,16.8,13.8,80.0,3.80,2.00,0.500
CBA/CaJ,f,18:77f,7.80,9.80,15.6,45.8,46.6,15.8,33.9,965,4.40,17.3,11.7,84.5,1.80,1.60,0.400
CBA/CaJ,f,19:77f,4.70,9.70,15.6,46.4,47.8,16.1,33.7,869,4.50,16.8,13.5,82.9,1.60,1.90,0.100
CBA/CaJ,f,20:77f,8.70,9.80,15.7,46.3,47.1,16.0,33.9,966,4.30,16.8,13.8,83.9,0.300,1.80,0.100
CBA/CaJ,f,21:77f,3.40,9.60,15.5,45.9,47.6,16.0,33.7,914,4.80,17.4,13.5,80.7,3.60,1.80,0.500
CBA/CaJ,f,22:77f,6.90,9.30,15.1,44.7,47.8,16.2,33.8,,4.80,16.8,14.1,82.1,0.900,2.10,0.700
CBA/CaJ,f,23:77f,3.20,9.90,15.7,46.3,46.6,15.8,34.0,724,5.00,16.6,15.9,81.2,0.400,2.40,0.100
CBA/CaJ,f,24:77f,4.90,9.70,15.9,47.1,48.4,16.3,33.7,926,4.40,17.5,18.1,79.5,0.200,2.10,0.200
CBA/CaJ,f,25:77f,6.80,8.60,14.8,40.7,47.5,17.2,36.2,980,4.30,16.3,14.2,82.8,1.00,1.80,0.200
CBA/CaJ,f,26:77f,4.80,9.10,15.7,43.6,47.8,17.2,36.1,1037,4.30,17.6,8.00,82.1,7.00,2.10,0.800
CBA/CaJ,f,27:77f,8.20,9.60,15.2,46.1,48.3,16.0,33.1,775,5.70,18.2,21.3,75.1,1.00,2.50,0.100
CBA/CaJ,f,28:77f,6.30,8.90,15.2,45.0,50.5,17.1,33.8,985,5.10,19.8,17.2,78.4,1.70,2.60,0.100
CBA/CaJ,m,10:77m,6.10,9.20,14.4,43.2,47.2,15.7,33.3,979,4.30,16.3,12.5,82.9,1.30,2.30,1.10
CBA/CaJ,m,11:77m,9.40,9.90,14.8,46.5,46.9,14.9,31.7,841,5.10,16.3,8.20,88.5,0.600,1.70,1.00
CBA/CaJ,m,12:77m,10.8,9.60,15.1,45.2,47.1,15.7,33.4,1252,4.40,17.0,15.1,80.5,1.00,2.10,1.30
CBA/CaJ,m,13:77m,6.90,9.50,15.4,44.2,46.7,16.3,35.0,1314,4.80,16.4,13.8,80.0,1.00,2.80,2.40
CBA/CaJ,m,14:77m,9.90,9.80,15.6,46.3,47.3,16.0,33.7,977,4.50,16.4,11.2,84.8,0.400,3.70,0.0
CBA/CaJ,m,1:77m,7.80,10.0,15.7,46.3,46.3,15.6,33.8,1158,4.60,16.9,16.9,79.3,1.10,2.60,0.100
CBA/CaJ,m,2:77m,7.40,10.3,16.0,46.9,45.7,15.6,34.1,1056,5.20,15.8,17.1,78.6,1.30,1.80,1.20
CBA/CaJ,m,3:77m,10.2,9.50,15.0,43.6,45.8,15.7,34.3,824,4.50,15.7,12.2,83.2,1.10,3.40,0.200
CBA/CaJ,m,4:77m,9.10,10.0,15.6,46.5,46.7,15.6,33.4,793,4.50,15.5,7.40,86.1,4.90,1.40,0.300
CBA/CaJ,m,5:77m,7.10,9.20,14.4,43.1,46.8,15.6,33.4,1260,4.50,17.6,10.1,77.3,8.70,3.00,0.800
CBA/CaJ,m,6:77m,6.30,10.0,15.7,46.3,46.1,15.6,33.9,1187,4.50,16.8,8.30,83.5,5.60,1.80,0.800
CBA/CaJ,m,7:77m,7.80,9.70,15.5,45.5,46.7,15.9,34.1,1201,4.40,16.8,19.2,75.7,1.20,2.50,1.50
CBA/CaJ,m,8:77m,6.20,9.90,15.2,45.3,46.0,15.5,33.6,1138,4.10,15.4,15.2,82.1,0.300,2.30,0.0
CBA/CaJ,m,9:77m,7.80,9.30,14.9,43.4,46.4,16.0,34.4,1276,4.40,17.7,15.1,81.5,0.500,1.40,1.50
CBA/J,f,10:16f,3.60,8.90,14.3,42.6,47.8,16.1,33.7,852,4.40,16.3,14.8,83.4,1.10,0.800,0.0
CBA/J,f,11:16f,4.50,9.00,14.1,42.1,46.6,15.6,33.4,1025,4.60,16.5,15.3,79.4,1.80,3.30,0.200
CBA/J,f,12:16f,7.20,9.30,14.9,43.5,46.7,16.0,34.2,931,4.50,15.4,14.1,81.0,1.80,1.90,1.30
CBA/J,f,13:16f,4.10,8.40,13.7,39.7,47.3,16.3,34.5,1191,4.60,16.7,14.0,81.2,1.80,1.50,1.50
CBA/J,f,14:16f,4.50,9.00,14.3,42.3,47.2,15.9,33.7,748,4.40,15.3,15.8,82.1,0.900,1.00,0.200
CBA/J,f,15:16f,4.20,9.10,14.3,42.7,46.7,15.6,33.4,995,4.70,16.3,19.0,77.9,1.00,2.00,0.200
CBA/J,f,16:16f,3.80,8.40,13.9,40.1,47.7,16.5,34.6,851,4.80,16.0,12.3,85.9,0.900,0.900,0.0
CBA/J,f,17:16f,3.30,9.50,15.0,44.4,46.5,15.8,33.9,812,3.90,16.4,18.1,79.5,0.900,1.40,0.0
CBA/J,f,18:16f,5.40,8.90,14.3,41.9,47.0,16.0,34.1,871,4.60,18.2,16.6,79.0,2.70,1.20,0.500
CBA/J,f,19:16f,5.60,8.90,13.9,41.9,46.9,15.6,33.1,841,4.60,15.7,8.70,88.8,0.900,1.30,0.200
CBA/J,m,1:16m,6.50,8.70,13.5,40.6,46.4,15.4,33.3,1016,4.40,16.2,21.7,73.8,3.00,1.50,0.0
CBA/J,m,2:16m,3.10,8.80,14.0,42.0,47.5,15.8,33.3,,5.20,16.8,9.20,80.3,8.20,1.20,1.20
CBA/J,m,3:16m,5.30,9.20,14.7,43.2,47.0,16.0,33.9,1035,5.00,17.2,15.3,81.7,1.80,1.30,0.0
CBA/J,m,4:16m,5.90,9.20,14.7,43.3,47.2,16.1,34.1,1144,4.30,17.2,15.8,80.8,1.70,1.80,0.0
CBA/J,m,5:16m,4.50,8.90,14.0,42.0,47.2,15.7,33.3,1029,4.80,15.9,8.90,87.0,2.80,1.00,0.300
CBA/J,m,6:16m,4.60,8.70,14.0,42.1,48.5,16.1,33.3,,4.50,17.5,4.70,86.2,6.40,0.700,2.00
CBA/J,m,7:16m,4.60,8.70,14.2,41.7,47.7,16.2,34.0,973,4.50,14.2,17.2,80.0,1.60,1.20,0.0
CBA/J,m,8:16m,4.00,8.80,14.2,41.8,47.4,16.1,34.0,1055,4.40,15.7,14.6,79.8,3.40,2.00,0.300
CBA/J,m,9:16m,5.10,9.00,14.2,41.8,46.6,15.9,34.0,1002,4.30,15.6,13.7,83.6,1.30,1.40,0.0
DBA/2J,f,15:8f,6.50,10.4,14.4,43.7,42.1,13.9,33.0,999,4.60,18.1,9.30,89.0,0.100,1.50,0.0
DBA/2J,f,16:8f,7.00,10.9,15.2,45.0,41.3,13.9,33.7,1120,4.50,18.2,17.5,77.8,2.90,1.40,0.400
DBA/2J,f,17:8f,6.90,10.4,14.6,44.2,42.6,14.1,33.1,1268,4.80,18.0,13.9,82.4,0.400,3.40,0.0
DBA/2J,f,18:8f,6.00,10.8,15.2,46.5,42.9,14.1,32.8,1395,5.20,18.6,4.30,74.5,17.0,1.40,2.80
DBA/2J,f,19:8f,6.30,10.9,14.9,44.7,41.0,13.7,33.4,1258,4.30,19.2,7.60,85.3,4.50,2.30,0.400
DBA/2J,f,20:8f,6.50,10.3,14.3,42.4,41.3,14.0,33.8,1167,4.50,17.9,5.30,77.8,10.6,4.30,2.00
DBA/2J,f,21:8f,7.40,10.0,14.2,41.8,41.8,14.2,34.0,1342,4.40,18.7,13.3,81.4,1.80,3.50,0.0
DBA/2J,f,22:8f,6.00,10.5,14.5,43.8,41.9,13.9,33.1,1033,4.40,17.4,15.7,79.3,0.400,4.60,0.0
DBA/2J,f,23:8f,6.30,10.6,14.7,44.0,41.5,13.8,33.3,1268,4.80,18.5,17.4,78.0,0.400,4.10,0.0
DBA/2J,f,24:8f,6.50,10.6,14.9,44.6,42.0,14.0,33.4,1494,4.60,16.9,18.1,75.0,3.30,3.30,0.400
DBA/2J,f,25:8f,7.60,10.4,14.7,43.8,42.0,14.1,33.5,1005,4.80,18.5,11.3,85.1,0.200,3.40,0.0
DBA/2J,f,26:8f,9.00,10.3,14.5,44.0,42.6,14.1,33.0,1040,4.30,19.0,4.90,84.2,6.60,2.70,1.70
DBA/2J,f,27:8f,5.90,10.5,14.5,43.7,41.7,13.8,33.2,1147,4.10,17.7,16.3,78.2,2.50,2.60,0.400
DBA/2J,f,28:8f,4.50,10.3,14.4,44.1,43.0,14.1,32.7,1117,4.60,20.4,4.90,77.9,11.9,0.900,4.50
DBA/2J,f,29:8f,6.70,10.7,14.9,44.3,41.5,14.0,33.6,1076,4.40,18.3,6.60,74.5,12.0,5.00,2.00
DBA/2J,m,10:8m,7.70,10.6,14.8,44.1,41.6,13.9,33.5,1146,4.00,18.4,16.4,79.2,2.10,2.10,0.200
DBA/2J,m,11:8m,9.20,11.6,15.5,46.5,39.9,13.4,33.4,1225,4.50,19.8,5.70,80.9,9.00,1.50,2.90
DBA/2J,m,12:8m,7.10,10.6,14.4,44.0,41.6,13.6,32.7,1027,5.80,21.1,18.1,74.0,5.70,1.50,0.800
DBA/2J,m,13:8m,6.10,10.8,14.8,44.8,41.4,13.7,33.0,1086,4.10,18.1,20.7,75.9,0.200,3.20,0.0
DBA/2J,m,14:8m,6.70,10.9,14.8,45.2,41.4,13.6,32.8,1178,4.50,20.5,15.3,68.4,11.9,1.30,3.10
DBA/2J,m,1:8m,10.0,10.6,14.4,43.1,40.8,13.6,33.4,1091,4.20,18.5,5.40,83.2,7.30,1.90,2.20
DBA/2J,m,2:8m,9.00,11.3,15.1,46.0,40.6,13.3,32.8,1269,4.30,19.2,5.50,93.3,0.400,0.800,0.0
DBA/2J,m,3:8m,6.90,13.1,16.6,51.8,39.5,12.7,32.1,,,21.7,15.5,74.9,5.00,4.30,0.300
DBA/2J,m,4:8m,6.70,11.0,14.8,45.4,41.4,13.6,32.7,,5.60,20.4,15.2,76.5,4.80,2.20,1.30
DBA/2J,m,5:8m,8.50,10.7,14.5,44.2,41.4,13.6,32.9,1034,4.40,18.0,13.0,85.0,0.100,1.90,0.0
DBA/2J,m,6:8m,7.60,11.7,15.8,48.2,41,13.4,32.7,894,6.30,20.3,19.4,71.6,5.20,2.70,1.20
DBA/2J,m,7:8m,9.50,10.4,14.3,43.4,41.6,13.7,33.0,1272,4.50,18.3,11.3,84.3,1.70,2.60,0.100
DBA/2J,m,8:8m,6.30,10.7,14.5,44.2,41.2,13.5,32.8,1115,4.30,18.5,17.9,73.5,5.90,2.20,0.500
DBA/2J,m,9:8m,6.20,11.3,15.1,46.8,41.4,13.4,32.4,1113,4.40,19.9,9.60,83.9,4.40,1.30,0.800
FVB/NJ,f,16:9f,5.70,9.40,14.6,43.7,46.7,15.6,33.4,1243,4.20,15.9,9.60,86.9,1.50,2.10,0.0
FVB/NJ,f,17:9f,6.50,9.50,14.8,43.8,46.1,15.6,33.9,1166,4.10,16.7,11.2,86.8,0.200,1.80,0.100
FVB/NJ,f,18:9f,5.10,9.20,14.2,42.1,45.9,15.5,33.8,1039,4.00,16.4,11.9,84.4,1.60,2.10,0.0
FVB/NJ,f,19:9f,5.20,9.20,14.5,42.6,46.2,15.7,33.9,1247,4.10,16.7,12.1,84.9,1.50,1.60,0.100
FVB/NJ,f,20:9f,6.50,9.20,14.3,42.3,46.3,15.6,33.8,1278,3.90,17.0,7.10,89.1,0.900,2.90,0.0
FVB/NJ,f,21:9f,5.20,9.00,14.1,41.1,45.8,15.7,34.2,1333,4.10,16.3,7.70,89.9,1.40,1.00,0.0
FVB/NJ,f,22:9f,7.50,9.10,14.2,41.5,45.8,15.7,34.3,1367,3.90,16.8,10.7,86.3,1.40,1.60,0.0
FVB/NJ,f,23:9f,6.20,9.40,14.6,43.2,46.0,15.6,33.9,1267,4.00,16.1,12.6,83.2,1.50,2.80,0.0
FVB/NJ,f,24:9f,5.20,9.00,14.3,41.7,46.1,15.8,34.2,1274,4.10,15.9,12.1,85.0,1.20,1.70,0.0
FVB/NJ,f,25:9f,5.90,9.00,14.0,41.6,46.3,15.6,33.7,1271,4.20,17.3,7.00,89.2,1.00,2.60,0.100
FVB/NJ,f,26:9f,5.30,8.40,14.2,39.2,46.6,17.1,36.7,1162,4.20,16.5,8.80,87.8,1.80,1.40,0.100
FVB/NJ,f,27:9f,4.70,8.40,13.2,39.7,47.3,15.7,33.3,1387,4.10,18.1,12.8,83.4,1.20,2.70,0.0
FVB/NJ,f,28:9f,5.50,8.30,13.3,39.6,47.7,16.0,33.5,1494,3.90,17.8,6.90,86.8,1.60,4.60,0.100
FVB/NJ,f,29:9f,6.60,9.20,14.2,41.8,45.6,15.5,34.0,1312,3.90,16.6,11.6,85.5,0.900,2.00,0.0
FVB/NJ,f,30:9f,4.80,9.20,14.3,41.9,45.7,15.7,34.3,1290,3.90,16.3,10.9,85.9,1.30,1.70,0.100
FVB/NJ,m,10:9m,3.70,9.70,14.6,43.5,44.8,15.0,33.5,1067,4.00,17.0,11.9,83.3,2.30,2.40,0.0
FVB/NJ,m,11:9m,2.30,9.00,13.8,41.0,45.5,15.3,33.7,1331,3.80,16.5,6.50,91.5,0.800,1.20,0.0
FVB/NJ,m,12:9m,5.60,8.90,13.4,39.9,44.8,15.1,33.6,1483,3.60,15.9,10.3,83.8,3.50,2.30,0.100
FVB/NJ,m,13:9m,7.90,9.30,14.2,42.1,45.2,15.2,33.7,1341,4.20,16.0,9.70,85.6,1.50,3.10,0.0
FVB/NJ,m,14:9m,4.80,9.30,14.1,42.0,45.3,15.2,33.6,1417,3.90,17.4,10.4,83.9,1.60,4.10,0.0
FVB/NJ,m,15:9m,5.30,9.10,13.6,40.8,44.9,15.1,33.5,1341,3.70,16.2,16.3,74.6,5.50,3.30,0.200
FVB/NJ,m,1:9m,6.80,9.40,14.1,41.7,44.4,15.0,33.7,1482,3.70,16.6,9.50,86.6,1.70,2.30,0.0
FVB/NJ,m,2:9m,6.60,9.20,14.0,41.2,44.9,15.3,34.0,1671,3.80,16.9,11.6,84.9,1.70,1.20,0.600
FVB/NJ,m,3:9m,5.10,9.20,14.0,41.6,45.4,15.3,33.6,1429,4.10,17.3,12.0,83.6,1.40,3.00,0.0
FVB/NJ,m,4:9m,6.20,9.40,14.3,42.3,44.8,15.1,33.8,1536,3.80,17.1,11.0,83.3,1.80,3.40,0.600
FVB/NJ,m,5:9m,6.00,9.30,14.2,42.0,45.3,15.2,33.7,1575,3.80,16.2,13.1,83.8,2.00,1.10,0.0
FVB/NJ,m,6:9m,5.10,9.60,14.6,43.3,45.3,15.2,33.6,1588,3.80,17.5,10.2,85.9,1.80,2.10,0.0
FVB/NJ,m,7:9m,6.30,9.00,13.8,40.7,45.4,15.5,34.1,1496,3.80,15.7,12.4,85.5,0.800,1.30,0.0
FVB/NJ,m,8:9m,5.50,9.50,14.4,42.7,44.8,15.1,33.6,1488,3.60,16.9,11.4,83.5,1.40,3.70,0.0
FVB/NJ,m,9:9m,6.90,9.70,14.5,43.0,44.5,15.0,33.6,1553,3.90,17.1,8.90,87.3,1.40,2.20,0.300
SJL/J,f,15:17f,9.60,9.80,14.9,45.6,46.4,15.2,32.7,848,5.80,19.3,10.0,86.3,2.10,1.40,0.200
SJL/J,f,16:17f,5.90,9.40,14.3,44.3,47.1,15.3,32.4,1118,4.90,17.5,5.50,91.3,0.900,2.50,0.0
SJL/J,f,17:17f,8.80,9.40,14.7,45.0,48.0,15.7,32.6,850,5.40,16.0,8.40,87.1,3.00,1.30,0.200
SJL/J,f,18:17f,7.70,9.70,14.7,44.2,45.6,15.2,33.3,943,5.00,17.7,6.70,89.0,2.50,1.60,0.400
SJL/J,f,19:17f,6.90,9.90,15.1,46.2,46.5,15.3,32.8,1145,5.40,17.1,6.40,88.6,2.20,2.80,0.100
SJL/J,f,20:17f,7.40,9.90,15.3,46.4,46.6,15.4,33.0,1092,5.10,18.5,7.00,88.3,2.10,2.30,0.400
SJL/J,f,21:17f,9.70,9.20,13.7,41.4,44.9,14.9,33.1,1132,5.60,17.5,7.50,89.3,2.50,0.500,0.200
SJL/J,f,22:17f,5.20,9.80,14.6,44.9,46.0,14.9,32.5,955,5.20,19.0,9.70,84.3,2.50,3.30,0.300
SJL/J,f,23:17f,10.5,8.60,13.6,41.2,47.6,15.7,32.9,1039,5.10,18.5,10.3,85.9,2.40,1.40,0.200
SJL/J,f,24:17f,5.90,9.20,14.6,44.3,48.1,15.8,32.9,937,5.40,19.7,5.70,88.8,2.70,2.60,0.400
SJL/J,f,25:17f,7.60,9.70,14.9,45.9,47.4,15.4,32.3,1202,4.90,17.9,7.10,88.5,2.60,1.60,0.400
SJL/J,f,26:17f,10.9,9.70,15.2,45.9,47.3,15.6,33.0,1211,4.90,17.9,7.50,89.2,1.50,1.90,0.100
SJL/J,f,27:17f,6.70,9.30,14.7,45.4,48.8,15.8,32.4,964,5.50,20.3,5.40,93.0,0.900,0.600,0.100
SJL/J,f,28:17f,7.70,9.20,14.1,43.1,46.7,15.3,32.8,977,4.90,18.5,5.90,89.9,1.50,2.50,0.300
SJL/J,f,29:17f,8.60,9.70,14.7,44.6,45.8,15.1,32.9,1404,5.60,20.6,8.60,84.1,2.10,3.80,1.40
SJL/J,m,10:17m,14.0,9.60,14.3,44.7,46.5,14.9,32.1,828,5.20,18.3,5.50,92.1,1.00,1.50,0.0
SJL/J,m,11:17m,8.90,9.40,13.9,44.2,47.1,14.9,31.5,1167,5.80,23.1,7.80,87.1,1.60,2.50,1.10
SJL/J,m,12:17m,7.30,8.80,13.3,40.8,46.6,15.2,32.5,1089,4.80,18.8,6.40,88.8,1.10,3.50,0.300
SJL/J,m,13:17m,12.6,8.90,13.8,42.3,47.7,15.6,32.7,1293,4.90,20.5,3.80,93.4,1.20,1.50,0.200
SJL/J,m,14:17m,9.80,9.00,14.0,43.3,48.2,15.5,32.2,1257,5.40,20.9,6.80,89.8,2.00,1.40,0.0
SJL/J,m,1:17m,14.4,9.20,13.9,42.5,46.3,15.2,32.8,1200,5.20,19.4,7.80,89.8,1.10,1.30,0.100
SJL/J,m,2:17m,8.60,8.70,13.2,41.4,47.4,15.2,32.0,1113,4.90,16.8,6.80,89.0,1.50,2.50,0.200
SJL/J,m,3:17m,9.00,8.90,13.6,42.2,47.5,15.3,32.2,1006,5.00,18.6,4.00,91.9,1.60,2.20,0.300
SJL/J,m,4:17m,13.1,9.20,13.8,43.2,46.7,15.0,32.0,738,5.10,19.6,5.60,92.1,0.900,1.30,0.100
SJL/J,m,5:17m,8.00,8.80,13.3,41.8,47.7,15.2,31.9,1124,4.90,18.9,8.40,86.7,1.90,2.80,0.200
SJL/J,m,6:17m,7.10,8.40,13.0,40.2,47.6,15.5,32.5,859,5.30,17.8,4.30,92.8,1.00,1.70,0.200
SJL/J,m,7:17m,13.1,9.60,14.0,44.7,46.4,14.5,31.4,779,5.80,24.0,5.30,90.4,2.10,1.40,0.900
SJL/J,m,8:17m,13.1,9.50,14.2,44.8,47.0,14.9,31.7,,7.10,20.3,4.80,92.2,1.10,1.80,0.100
SJL/J,m,9:17m,8.50,8.50,12.8,41.0,48.2,15.1,31.4,698,5.00,18.0,4.40,91.9,1.00,2.30,0.300
