strain,sex,animal_id,WBC,NEUT,LYMP,pct_NEUT,pct_LYMP,HGB,PLT,adenoma_lung,carcinoma_lung,lymphoid_tumor,myeloid_tumor,GI_tumor,adenoma_lung_enu,carcinoma_lung_enu,lymphoid_tumor_enu,myeloid_tumor_enu,GI_tumor_enu
SM/J,f,2028,2.96,0.650,2.13,21.9,71.9,13.3,603,,,,,,0,0,0,0,0
SM/J,f,2333,4,1.28,2.55,31.9,63.7,13.6,654,,,,,,0,0,0,0,0
SM/J,f,2334,5.66,1.18,4.22,20.9,74.6,13.7,242,,,,,,0,0,0,0,0
SM/J,f,2335,3.22,0.780,2.23,24.1,69.2,13.5,724,0,0,0,0,0,,,,,
SM/J,f,2336,3.24,0.880,2.13,27.2,65.6,13.8,546,0,0,0,0,0,,,,,
SM/J,f,2486,5.88,1.67,4.04,28.4,68.8,15.1,783,0,0,0,0,0,,,,,
SM/J,f,2487,4.90,1.32,3.32,26.9,67.8,14.8,622,0,0,0,0,0,,,,,
SM/J,f,2488,3.12,0.780,2.14,24.9,68.5,15.1,688,0,0,0,0,0,,,,,
SM/J,f,2489,4.20,1.32,2.54,31.4,60.5,14.7,632,0,0,0,0,0,,,,,
SM/J,m,2069,8.52,4.12,4.10,48.4,48.1,15.4,694,,,,,,0,0,1,0,0
SM/J,m,2070,4.48,1.59,2.65,35.5,59.1,14.8,541,,,,,,1,0,1,0,0
SM/J,m,2071,3.98,0.930,2.72,23.4,68.3,15.1,642,,,,,,0,0,0,0,0
SM/J,m,2072,5.08,1.48,3.42,29.2,67.4,14.8,813,,,,,,0,0,0,0,0
SM/J,m,2161,3.82,0.840,2.73,22,71.3,14.6,982,,,,,,0,0,0,0,0
SM/J,m,2162,4.38,1.19,2.83,27.1,64.5,13.5,638,,,,,,0,0,0,0,0
SM/J,m,2163,7.28,2.34,4.57,32.1,62.7,13.4,810,0,0,0,0,0,,,,,
SM/J,m,2164,7.24,2.62,4.03,36.2,55.6,13.5,800,0,0,0,0,0,,,,,
SM/J,m,2457,5.40,1.27,3.93,23.4,72.7,16.2,562,0,0,0,0,0,,,,,
SM/J,m,2458,4.32,0.940,3.15,21.8,72.8,15.2,567,0,0,0,0,0,,,,,
SM/J,m,2459,4.58,0.950,3.36,20.9,73.5,15.2,515,0,0,0,0,0,,,,,
SM/J,m,2460,3.16,0.920,2.20,29,69.6,14.9,630,0,0,0,0,0,,,,,
SPRET/EiJ,f,2417,3.60,0.880,2.56,24.5,71.2,13.9,600,0,0,0,0,0,,,,,
SPRET/EiJ,f,2418,1.80,0.780,0.910,43.4,50.8,13.7,755,0,0,0,0,0,,,,,
SPRET/EiJ,f,2419,4.48,1,3.35,22.4,74.7,14.2,557,,,,,,0,0,0,0,0
