strain,sex,animal_id,ALT,ALP,AST,CK,GLU,HDL,HGB,LDH,LDL,MCH,MCHC,MCV,PLT,RBC,WBC,ALB,amylase,calcium,chloride,CHOL,creatinine,ferritin,FFA,iron,LYMP,MONO,phosphorus,potassium,sodium,TBIL,total,transferrin,TG,BUN,uric_acid
C3HeB/FeJ,f,33036,26,186,113,932,151,63.6,,690,9.36,,,,,,,3.10,450,9.48,118,85.4,0.295,,1.06,,,,4.59,5.70,151,,4.70,,79.2,38.4,
C3HeB/FeJ,f,33037,22,169,53,94,196,71.0,,348,10.5,,,,,,,3,452,9.60,116,89.3,0.318,,1,20.4,,,6.11,4.40,151,1.50,4.90,,89.9,36.0,
C3HeB/FeJ,f,33259,,310,,114,162,,,,,,,,,,,,2076,9.60,113,170,0.316,88.4,,,,,6.20,4.20,154,,5.60,184,103,51.2,2.20
C3HeB/FeJ,f,33260,,258,,46,171,,,,,,,,,,,,2186,9.60,112,164,0.372,69.6,,,,,7.44,3.80,156,,5.80,178,101,39.4,2.20
C3HeB/FeJ,f,33261,,222,,32,161,,,,,,,,,,,,1856,9.60,111,97.5,0.295,65.6,,,,,3.72,4,154,,5.20,193,179,71.4,1
C3HeB/FeJ,f,33262,,196,,60,178,,,,,,,,,,,,1940,9.60,114,132,0.295,70,,,,,5.58,3.80,158,,5.20,180,322,38.6,2.60
C3HeB/FeJ,f,33263,,204,,74,178,,,,,,,,,,,,2038,9.60,114,125,0.295,69.6,,,,,6.20,3.80,158,,5.40,182,255,43.8,1.40
C3HeB/FeJ,f,33264,,208,,84,161,,,,,,,,,,,,2096,9.60,112,127,0.277,66.4,,,,,6.82,4,156,,5.40,178,257,37.0,1.80
C3HeB/FeJ,f,33265,,198,,132,120,,,,,,,,,,,,2270,9.60,115,139,0.257,79.2,,,,,4.96,3.80,158,,5.60,184,414,35.0,1.40
C3HeB/FeJ,f,33266,,216,,182,152,,,,,,,,,,,,2148,9.60,113,129,0.295,62.2,,,,,4.96,3.80,156,,5.60,180,283,35.8,1
C3HeB/FeJ,f,33267,,220,,30,136,,,,,,,,,,,,2058,9.60,114,134,0.316,81.4,,,,,4.34,3.80,156,,5.60,184,294,38.8,0.800
C3HeB/FeJ,f,33268,,172,,194,180,,,,,,,,,,,,2056,9.60,113,127,0.295,69.6,,,,,4.96,3.40,156,,5.40,182,380,33.0,1
C3HeB/FeJ,f,33269,,182,,82,163,,,,,,,,,,,,2156,9.60,114,149,0.316,74.8,,,,,5.58,4,158,,5.40,187,480,46.6,1.40
C3HeB/FeJ,f,33270,,206,,80,154,,,,,,,,,,,,1890,9.60,115,104,0.295,69.6,,,,,4.34,3.80,156,,5.40,175,165,37.6,0.800
C3HeB/FeJ,f,33271,,204,,100,182,,,,,,,,,,,,2164,9.60,114,140,0.333,71.2,,,,,4.96,4.20,156,,5.80,189,342,36.2,1.40
C3HeB/FeJ,f,33272,,230,,32,175,,,,,,,,,,,,1856,9.60,117,94.0,0.316,76,,,,,3.72,4,156,,5.40,172,207,45.4,1.80
C3HeB/FeJ,f,33273,,190,,406,205,,,,,,,,,,,,2224,9.60,114,134,0.372,117,,,,,4.34,4.20,158,,5.80,185,323,38.2,2.20
C3HeB/FeJ,f,33579,,,,,,,14.2,,,16.4,32.5,50.5,1122,8.64,4.40,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33580,,,,,,,14.1,,,16.8,33.1,50.8,1017,8.38,8,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33581,,,,,,,14.7,,,17,33.5,50.6,1235,8.67,4.60,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33582,,,,,,,13.9,,,16.5,32.7,50.3,821,8.45,5.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33583,,,,,,,13,,,17.1,33.5,50.9,1574,7.64,7.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33584,,,,,,,14.8,,,16.7,33.3,50.3,1265,8.85,4.60,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33585,,,,,,,14,,,16.1,31.7,50.7,1167,8.73,4.50,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33586,,,,,,,13.9,,,16.4,32.2,50.9,867,8.49,4.40,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33587,,,,,,,13.4,,,16.6,32.4,51.2,745,8.06,,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33588,,,,,,,13.8,,,16.9,33,51.4,1196,8.12,5.30,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33590,,,,,,,15.9,,,16.6,32.2,51.4,846,9.59,8.20,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33591,,,,,,,14.4,,,16.5,33.1,50,1080,8.68,3.90,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33592,,,,,,,14,,,16.6,32.8,50.5,1263,8.44,4,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33593,,,,,,,14,,,16.6,32.6,50.9,1262,8.47,5.30,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33594,,,,,,,15.4,,,16.7,33.1,50.6,1305,9.21,5,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33595,,,,,,,15,,,17.1,33.7,50.8,1009,8.79,7.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33596,,,,,,,14.5,,,16.5,33.2,49.9,1205,8.77,6.80,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33597,,,,,,,14.5,,,16.7,32.8,50.8,1028,8.70,4.90,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33598,,,,,,,15.7,,,17.1,34.4,49.7,829,9.17,9.20,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33894,,,,,,,15.4,,,15.9,31.2,51,868,9.70,5.50,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33895,,,,,,,15.7,,,16.3,31.2,52,805,9.61,5.40,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33896,,,,,,,15.1,,,15.6,30.2,52,535,9.70,6.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33897,,,,,,,15,,,16.1,31.4,51,667,9.33,4.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33898,,,,,,,15.2,,,15.3,30.3,51,663,9.92,4.50,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33899,,,,,,,15.2,,,15.7,31.4,50,630,9.68,7.20,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33900,,,,,,,15.6,,,15.4,30.5,51,656,10.2,6.50,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33901,,,,,,,15.4,,,15.9,31,51,663,9.68,5.30,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33902,,,,,,,15.7,,,15.5,30.1,51,726,10.2,4.40,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33903,,,,,,,15.3,,,15.5,30.8,50,663,9.86,4.20,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33904,,,,,,,14.9,,,15.5,30.4,51,572,9.63,6.30,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33905,,,,,,,16,,,15.4,30.7,50,588,10.3,7.60,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33906,,,,,,,15.5,,,15.8,31.4,50,635,9.79,5.40,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33907,,,,,,,14.6,,,15.5,30.7,50,572,9.45,3.80,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33908,,,,,,,15.3,,,15.4,29.9,51,652,9.93,4.40,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,f,33909,,,,,,,,,,,,,,,,,,,,,,,,,3,0.500,,,,,,,,,
C3HeB/FeJ,f,33910,,,,,,,,,,,,,,,,,,,,,,,,,2.90,0.500,,,,,,,,,
C3HeB/FeJ,f,33911,,,,,,,,,,,,,,,,,,,,,,,,,3.50,0.500,,,,,,,,,
C3HeB/FeJ,f,33912,,,,,,,,,,,,,,,,,,,,,,,,,2.40,0.400,,,,,,,,,
C3HeB/FeJ,f,33913,,,,,,,,,,,,,,,,,,,,,,,,,2.60,0.400,,,,,,,,,
C3HeB/FeJ,f,33914,,,,,,,,,,,,,,,,,,,,,,,,,4,0.600,,,,,,,,,
C3HeB/FeJ,f,33915,,,,,,,,,,,,,,,,,,,,,,,,,3.60,0.600,,,,,,,,,
